Segment,U.S. Facilities,Facilities Outside the U.S.
Construction Industries,Arkansas: North Little Rock,"Brazil: Campo Largo,Piracicaba"
Construction Industries,Georgia: Athens,"China: Suzhou,Wujiang,Xuzhou,Qingzhou"
Construction Industries,Illinois: Decatur,"East Peoria,France: Grenoble,Echirolles"
Construction Industries,Kansas: Wamego,Hungary: Godollo
Construction Industries,Minnesota: Brooklyn Park,India: Thiruvallur
Construction Industries,North Carolina: Clayton,"Sanford,Indonesia: Jakarta"
Construction Industries,Texas: Victoria,"Italy: Minerbio,Cattolica"
Construction Industries,,Japan: Akashi
Construction Industries,,Mexico: Torreon
Construction Industries,,Netherlands: Den Bosch
Construction Industries,,"Poland: Janow,Sosnowiec"
Construction Industries,,Russia: Tosno
Construction Industries,,Thailand: Rayong
Construction Industries,,"United Kingdom: Desford,Stockton"
Resource Industries,Illinois: Decatur,"East Peoria,China: Qingzhou,Wuxi"
Resource Industries,South Carolina: Sumter,"Germany: Dortmund,Lunen"
Resource Industries,Texas: Denison,India: Thiruvallur
Resource Industries,Wisconsin: South Milwaukee,Indonesia: Batam
Resource Industries,,Italy: Jesi
Resource Industries,,"Mexico: Acuna,Monterrey,Reynosa"
Resource Industries,,Russia: Tosno
Resource Industries,,Thailand: Rayong
Resource Industries,,"United Kingdom: Peterlee,Springvale"
Energy & Transportation,Alabama: Albertville,"Montgomery,Australia: Cardiff,Perth,Redbank,Revesby"
Energy & Transportation,California: San Diego,"Brazil: Curitiba,Hortolandia,Piracicaba,Sete Lagoas"
Energy & Transportation,Georgia: Griffin,"Patterson,China: Tianjin,Wuxi"
Energy & Transportation,Illinois: Mossville,"Mapleton,Pontiac,Czech Republic: Zatec,Zebrak"
Energy & Transportation,Indiana: Lafayette,"Muncie,Germany: Kiel,Mannheim,Rostock"
Energy & Transportation,Kentucky: Decoursey,"Mayfield,India: Aurangabad,Hosur"
Energy & Transportation,Oklahoma: Broken Arrow,Indonesia: Batam
Energy & Transportation,North Carolina: Winston-Salem,Italy: Pistoria
Energy & Transportation,Texas: Channelview,"DeSoto,Fort Worth,Mabank,San Antonio,Schertz,Seguin,Sherman,Mexico: San Luis Potosi,Tijuana"
