(illions of ollars),"Years ended December 31.,2021","Years ended December 31.,2021","Years ended December 31.,2020","Years ended December 31.,2020","Years ended December 31.,2019","Years ended December 31.,2019"
(illions of ollars),"$1,723",21.0%,$839,21.0%,"$1,641",21.0%
Taxes at U.S. statutory rate (Decreases) increases resulting from:,,,,,,
Non-U.S. subsidiaries taxed at other than the U.S. rate,211,2.6%,365,7.1%,285,4.7%
"State and local taxes, net of federal 1",28,0.3%,59,0.8%,32,0.8%
"Interest and penalties, net of tax",45,0.6%,34,0.7%,28,0.4%
U.S. tax incentives,(123),-1.5%,(149),-1.3%,(52),-1.9%
Net excess tax benefits from stock-based compensation,(63),-0.8%,(41),-1.2%,(49),-0.5%
Prior year tax adjustments,(36),-0.4%,(178),-2.0%,(80),-2.3%
Other—net,(43),-0.6%,3,0.1%,15,0.2%
Provision (benefit) for income taxes,"$1,742",21.2%,"$1,006",25.2%,"$1,746",22.4%
