Profit,Common,Common,employed Treasury inthe,employed Treasury inthe,Accumulated other comprehensive,Accumulated other comprehensive,Noncontrolling,
"(Dollrs in millions) Balance at January 1, 2021",stock $,"6,230 $","stock (25,178) $","business 35,167",income (loss) $ (888),interests $,47 $,"Total 15,378"
Profit (loss)of consolidated and afiliated,,,,,,,,
"companies Foreign currency translation, net of tax",,,,"6,489",一 (598),,4,"6,493 (598)"
"Pension and other postretirement benefits,",,,,,,,,
"net of tax Derivative financial instruments, net of tax",,,,,,(30),,(30)
"Available-for-sale securities,net of tax",,,,,,(3) (34),,(3) (34)
Change in ownership from noncontroling,,,,,,,,
interests,,,,"(2,374)",,,(14),(14)
Dividends declared 1 Distribution to noncontrolling interests,,,,,,,1 (4),"(2,374) (4)"
Common shares issued from treasury stock,,(68),203,,,,,
"for stock-based compensation: 3,571,503 Stock-based compensation expense",,200,一,,,,,135 200
"Common shares repurchased: 12,987,299 2",,一,"(2,668)",,,,,"(2,668)"
Other,,36,,,,,(1),35
"Balance at December 31,2021",$,"6,398 $","(27,643)","$ 39,282",,"(1,553)$",,"32$16,516"
