Reconciliation of Consolidated profit before taxes:,Reconciliation of Consolidated profit before taxes:,Reconciliation of Consolidated profit before taxes:,Reconciliation of Consolidated profit before taxes:,Reconciliation of Consolidated profit before taxes:
(Millions of dollars),2021,2020,,2019
Profit from reportable segments:,Profit from reportable segments:,Profit from reportable segments:,Profit from reportable segments:,Profit from reportable segments:
Construction Industries,"$ 3,706$",,"2,373 $",3.931
Resource Industries,"1,291",,896,"1,629"
Energy &Transportation,"2,768",,2.405,3.910
Financial Products Segment,,908,590,832
Total profit from reportable segments,"8,673",,"6,264","10,302"
Profit from All Other operating segment,,(14),28,4
Cost centers,,(4),(4),(6)
Corporate costs,,(699),(517),(607)
Timing,,(263),(106),(93)
Restructuring costs,,(90),(241),(207)
Methodology differences:,Methodology differences:,Methodology differences:,Methodology differences:,Methodology differences:
Inventory/cost of sales,122,,4,(19)
Postretirement benefit income (expense),"1,171",,(173),(401)
Stock-based compensation expense,,(199),(202),(205)
Financing costs,,(449),(444),(248)
Currency,,258,(266),(175)
Other income/expense methodology differences,,(267),(322),(481)
Other methodology differences,,(35),(26),(52)
Total consolidated profit before taxes,$,"8,204 $",3.995 $,7.812
