,,,Supplementalconsolidatingdata,Supplementalconsolidatingdata,Supplementalconsolidatingdata,Supplementalconsolidatingdata,Supplementalconsolidatingdata,Supplementalconsolidatingdata,
,,,"Machinery, Energy & Transportation","Machinery, Energy & Transportation",Financial Products,Financial Products,Consolidating Adjustments,Consolidating Adjustments,
,,,Consolidated 2021 2020,2021,2020,2021,2020,2021,2020
(Millions of dollars) Cash flow from operating activities:,(Millions of dollars) Cash flow from operating activities:,(Millions of dollars) Cash flow from operating activities:,(Millions of dollars) Cash flow from operating activities:,(Millions of dollars) Cash flow from operating activities:,(Millions of dollars) Cash flow from operating activities:,(Millions of dollars) Cash flow from operating activities:,(Millions of dollars) Cash flow from operating activities:,,
Profit loss of consolidated and afiated companies,,,"$ 6,493 $ 3,003 $ 6,676 $ 2,922 $",,678 $,,6416 $ (861)15$ (335)1.5,,
Adjustments for non-cash items:,Adjustments for non-cash items:,Adjustments for non-cash items:,Adjustments for non-cash items:,Adjustments for non-cash items:,Adjustments for non-cash items:,Adjustments for non-cash items:,Adjustments for non-cash items:,Adjustments for non-cash items:,
Depreciation and amortization,"2,352","2,432","1,550","1,630",802,802,一,,
Actuarial (gain) loss on pension and postretirement benefits,(833),383,(833),384,二,(1),1,二,
Provision (benefit) for deferred income taxes,(383),(74),(329),(85),(54),11,一,一,
Other,216,"1,000",131,613,(209),98,2942,2892,
"Changes inassets and liabilities,netof acquisitionsanddivestitures:",,,,,,,,,
Receivables - trade and other,"(1,259)","1,442",(463),395,47,50,"(843)2,3",99723,
Inventories,"(2,586)",(34),"(2,581)",(29),1,1,(5)²,(5)²,
Accounts payable,"2,041",98,"2,015",51,49,18,(23)²,29,
Accrued expenses,196,(366),288,(364),(92),(2),1,,
"Accrued wages, salaries and employee benefits","1,107",(544),"1,066",(510),41,(34),1,1,
Customer advances,34,(126),33,(126),1,一,1,一,
Other assets-net,(97),(201),(200),(133),25,(71),782,3²,
Other liabilities-net,(83),(686),(176),(694),132,(22),(39)²,30²,
Net cash provided by (used for) operating activities,"7,198",6.327,"7,177","4,054","1,420","1,265","(1,399)",1008,
Cash flow from investing activities:,Cash flow from investing activities:,Cash flow from investing activities:,Cash flow from investing activities:,Cash flow from investing activities:,Cash flow from investing activities:,Cash flow from investing activities:,Cash flow from investing activities:,Cash flow from investing activities:,
Capital expenditures-excluding equipment leased to others,"(1,093)",(978),"(1,088)",(976),(16),(14),11²,12²,
Expenditures for equipment leased to others,"(1,379)","(1,137)",(41),(18),"(1,347)","(1,139)",9²,20²,
"Proceeds from disposals of leased assets and property, plant and equipment","1,265",772,186,147,"1,095",651,(16)²,(26)²,
Additions to finance receivables,"(13,002)","(12,385)",1,,"(13,845)","(13,525)",843³,"1,1403",
Collections of finance receivables,"12,430","12,646",二,一,"13,337","14,077",(907)3,"(1,431)3",
Netintercompany purchased receivables,一,一,1,,(609),"1,043",609³,"(1,043) ³",
Proceeds from sale of finance receivables,51,42,二,一,51,42,一,,
Net intercompany borrowings,1,1,"1,000",(401),5,7,"(1,005) 4",3944,
Investments and acquisitions (net of cash acquired),(490),(111),(490),(111),二,1,二,二,
Proceeds from sale of businesses and investments (net of cash sold),36,25,36,25,1,1,1,1,
Proceeds from sale of securities,785,345,274,24,511,321,二,二,
Investments in securities,"(1,766)",(638),"(1,189)",(21),(577),(617),1,1,
Other-net,79,(66),81,(11),(2),（55),二,二,
Net cash provided by (used for) investing activities,"(3,084)","(1,485)","(1,231)","(1,342)","(1,397)",791,(456),（934),
Cash flow from financing activities:,Cash flow from financing activities:,Cash flow from financing activities:,Cash flow from financing activities:,Cash flow from financing activities:,Cash flow from financing activities:,Cash flow from financing activities:,Cash flow from financing activities:,Cash flow from financing activities:,
Dividends paid,"(2,332)",(2.243),"(2,332)",(2.243),(850),(320),8505,3205,
"Common stock issued,including treasury shares reissued",135,229,135,229,二,二,二,,
Common shares repurchased,"(2,668)","(1,130)","(2,668)","(1,130)",1,,1,二,
Net intercompany borrowings,一,,(5),（7),"(1,000)",401,"1,0054",(394) 4,
Proceed from debtissued (original maturities greater than three months),"6,989","10,431",494,"1,991","6,495","8,440",一,,
Payments ondebt(original maturities greaterthan threemonths),"(9,796)","(8,237)","(1,919)",(26),"(7,877)",(8.211),二,,
Short-term borrowings-net (original maturities three months or less),"3,488",(2.804),(1),5,"3,489","(2,809)",1,一,
Other-net,（4),(1),（4),(1),二,,二,,
Netcash provided by (used for)financingactivities,"(4，,188)","(3,755)","(6,300)","(1,182)",257,"(2,499)","1,855",（74）,
Effectof exchange rate changes on cash,（29）,（13）,(35),（10）,6,（3）,二,二,
"Increase (decrease) in cash, cash equivalents and restricted cash",(103),"1,074",(389),"1,520",286,,,,
