,"December 31,2021","December 31,2021","December 31,2021","December 31,2021","December 31,2021","December 31,2021"
(Millions of dollars),Level1,Level 2,Level3,,Measured at NAV,Total Assets at FairValue
U.S. Pension,,,,,,
Equity securities:,,,,,,
U.S. equities,"1,644$",,25$,23$,149$,"1,841"
Non-U.S. equities,"1,398",,,2,,"1,400"
Fixed income securities:,,,,,,
U.S. corporate bonds,,"7,289",,40,37,"7,366"
Non-U.S. corporate bonds,,"1,569",,一,,"1,569"
U.S. government bonds,一,"4,341",,1,一,"4,341"
U.S. governmental agency mortgage-backed securities,,24,,一,,24
Non-U.S. government bonds,,172,,一,,172
Real estate,一,1,,7,一,7
"Cash, short-term instruments and other",228,60,,,219,507
Total U.S.pension assets,"3,270$","13,480$",,72$,405$,"17,227"
