Thereafter\t195\t34\t229\nTotal\t14,592\t7,069\t21,661\nGuaranteed residual value \t16\t386\t402\nUnguaranteed residual value \t3\t720\t723\nLess: Unearned income\t(304)\t(554)\t(858)\nTotal\t$14,307\t$7,621\t$21,928\n1\tFor Retail loans, represents residual value on failed sale leasebacks.
Contractual maturities of outstanding finance receivables:,,,,,,,
(Millions of dollars),,,,,,,
December 31,2021,,,,,,
Retail Loans Retail Leases Total,,,,,,,
Amounts Due In,,,,,,,
2022,,,,,,,
5,839 3,137 8,976,,,,
2023,,,,,,,
3,802 2,070 5,962,,,,
Year\t2022\t2023\t2024\t2025\t2026\tThereafter\tTotal,,,,,,,
2022\t$5,839\t\t\t\t\t\t$14,592,,,,,
2023\t$3,892\t\t\t\t\t\t$7,069,,,,,
2024\t$2,571\t\t\t\t\t\t$3,672,,,,,
2025\t$1,448\t\t\t\t\t\t$1,958,,,,,
2026\t$647\t\t\t\t\t\t$864,,,,,,,
Thereafter\t$195\t\t\t\t\t\t$229,,,,,,,
Total\t\t\t\t\t\t\t$21,661,,,,,,
