Level1,Level2,Level3,,Measured at NAV,Total Assets at Fair Value
Non-U.S. Pension Equity securities: U.S. equities,$72,,,,$72
Non-U.S. Pension Equity securities: Non-U.S. equities,$266,$32,,,$335
Non-U.S. Pension Equity securities: Global equities¹,$31,$15,,一,$92
Non-U.S. Pension Fixed income securities: U.S. corporate bonds,,$327,,,$327
Non-U.S. Pension Fixed income securities: Non-U.S. corporate bonds,,$889,,,$889
Non-U.S. Pension Fixed income securities: U.S. government bonds,,$152,,,$152
Non-U.S. Pension Fixed income securities: Non-U.S. government bonds,$,1752,,,$1752
Non-U.S. Pension Fixed income securities: Global fixed income¹,$88,,$297,,$385
Non-U.S. Pension Real estate,,$225,,,$225
"Non-U.S. Pension Cash, short-term instruments and other²",$56,$267,,一,"""$323"""
Non-U.S. Pension Total non-U.S. pension assets,$425,$3747,,,$4552
