"Contractual maturities of outstanding wholesale inventory receivables:, (Millions of dollars)",Wholesale Loans,Wholesale Leases,Total
"Amounts Due In,",$421,$46,$467
"2022,",237,46,275
"2023,",117,38,147
"2024,",56,30,78
"2025,",21,22,30
"Thereafter,",5,,5
"Total,",857,145,"1,002"
"Guaranteed residual value ^,",68,27,95
"Unguaranteed residual value ^,",2,29,31
"Less: Unearned income,",(11),(19),(30)
"Total,$,",$916,$182,"$1,098"
"^,","For Wholesale loans, represents residual value on failed sale leasebacks.",,
