(ilions f dollars),U.S. Pension Benefits,U.S. Pension Benefits,U.S. Pension Benefits,Non-U.S.Pension Benefits,Non-U.S.Pension Benefits,Other Postretirement Benefits,Other Postretirement Benefits
(ilions f dollars),2021,2020,2021,,2020,2021,2020
"Accumulated benefit obligation, end of year $","17,895",$,"19,177 $","4,311","$ 4,680",,
Change in benefit obligation:,,,,,,,
"Benefit obligation,beginning of year","$ 19,177 $",,"17,773","$4,847$","4,666","4,051 $","3,960"
Service cost 1,,,,57,55,100,94
Interest cost,330,,483,53,68,64,103
Plan amendments,,,,,6,一,(8)
Actuarial losses (gains) 2,,(610),"1,922",(142),258,(211),192
Foreign currency exchange rates,,,,(154),213,(15),(25)
Participant contributions,,1,,4,4,48,44
Benefits paid - gross,,(996),(997),(184),(159),(310),(317)
Less: federal subsidy on benefits paid,,1,1,1,1,9,8
"Curtailments,settlements and termination",,,,,,,
"benefits Benefit obligation,endofyear","17,895",(6) $,(4) 19.177 $,"(45) 4,436",(264),1,
Change in plan assets:,$,,,,$ 4.847,"$ 3,736","$ 4,051"
"Fairvalue of plan assets,begining of year","$ 17,589",$,"15,994 $","4,731","$ 4,525",$ 147,$ 255
Actual return on plan assets,595,,2.552,99,385,34,23
Foreign currency exchange rates,1,,1,(139),164,,
Company contributions,45,,44,84,76,二 211,二 142
Participant contributions,1,,1,4,4,48,44
Benefits paid,(996),,(997),(184),,,(317)
Settlements and termination benefits,（6,,（4）,(43),(159) (264),(310) 1,
"Fair value of plan assets, end of year","$ 17,227",$,"17,589 $","4,552","$ 4,731",$ 130,二 $ 147
Over (under) funded status,$ (668),$,"(1,588) $",116,(116),,
Components of net amount recognized in financial position:,,,,,$,"$ (3,606)","$ (3,904)"
Other assets (non-current sset),$,592 $,409,$ 538,$ 556,$,$
"Accrued wages,salaries and employee benefits (currentliability)",,(45),,,,,
Liabilit for postemploymentbenefits,,,(44),(16),(25),(240),(186)
(non-current liability)3 Net (liability)asset recognized,"(1,215) $",(668) $,"(1,953)",(406),(647),"(3,366)","(3,718)"
Amounts recognized in Accumulated other,,,"(1,588) $",116,$ (116）$,"(3,606)","$ (3,904)"
comprehensive income (pre-tax) consist of: Prior service cost (credit) 1,$,$,,$ 23,$ 24,$ (5）,$ (46)
ffectivecUseiedc r (gain)impactingthebenefitobligationwasprimarilyduetolowerdiscountratesattheendof2020comparedtotheendof2019. Tli pasF,ffectivecUseiedc r (gain)impactingthebenefitobligationwasprimarilyduetolowerdiscountratesattheendof2020comparedtotheendof2019. Tli pasF,ffectivecUseiedc r (gain)impactingthebenefitobligationwasprimarilyduetolowerdiscountratesattheendof2020comparedtotheendof2019. Tli pasF,ffectivecUseiedc r (gain)impactingthebenefitobligationwasprimarilyduetolowerdiscountratesattheendof2020comparedtotheendof2019. Tli pasF,ffectivecUseiedc r (gain)impactingthebenefitobligationwasprimarilyduetolowerdiscountratesattheendof2020comparedtotheendof2019. Tli pasF,ffectivecUseiedc r (gain)impactingthebenefitobligationwasprimarilyduetolowerdiscountratesattheendof2020comparedtotheendof2019. Tli pasF,ffectivecUseiedc r (gain)impactingthebenefitobligationwasprimarilyduetolowerdiscountratesattheendof2020comparedtotheendof2019. Tli pasF,ffectivecUseiedc r (gain)impactingthebenefitobligationwasprimarilyduetolowerdiscountratesattheendof2020comparedtotheendof2019. Tli pasF
