(Millions of dollars),2020,Sales Volume,Price Realization,Currency,Inter-Segment/Other,2021,$ Change,% Change
Construction Industries,"$ 16,918","$ 4,063",$ 732,$ 323,$ 70,"$ 22,106","$ 5,188",31%
Resource Industries,"$ 7,906","1,833",100,123,1,"$ 9,963","$ 2,057",26%
Energy & Transportation,"$ 17,470","1,683",101,222,,"$ 20,287","$ 2,817",16%
All Other Segment,467,30,1,3,12,511,44,9%
Corporate Items and Eliminations,"$(3,739)",(46),--,--,,"$(4,679)",$(940),--
"Machinery, Energy & Transportation","$ 39,022","7,563",932,671,--,"$ 48,188","$ 9,166",23%
Financial Products Segment,"$ 3,044",,,,29,"$ 3,073",29,1%
Corporate Items and Eliminations,$(318),,,,28,$(290),28,--
Financial Products Revenues,"$ 2,726",,,,57,"$ 2,783",57,2%
Consolidated Sales and Revenues,"$ 41,748","$ 7,563",$ 932,$ 671,$ 57,"$ 50,971","$ 9,223",22%
