Stock options,Weighted-Average Exercise Price,RSUs,Weighted-Average Grant Date Fair Value,PRSUs,Weighted-Average Grant Date Fair Value
Shares,,,,,
Shares,,,,,
Shares,,,,,
"Outstanding at January 1, 2021","10,076,983",109.60,"1,327,950",134.89,"727,757,132.81"
Granted to officers and key employees,"1,084,821",219.76,"472,698",216.50,"285,056,215.45"
Exercised,"(3,399,720)",103.45,,,
Vested,,,"(665,357)",138.90,"(356,618),138.35"
Forfeited / expired,"(39,664)",161.34,"(35,110)",167.12,"(10,822),163.02"
"Outstanding at December 31, 2021","7,722,420",127.52,"1,100,181",166.50,"645,373,165.74"
"Exercisable at December 31, 2021","4,914,111",106.36,,,
