Reconciliation of Depreciation and amortization:,Reconciliation of Depreciation and amortization:,Reconciliation of Depreciation and amortization:,Reconciliation of Depreciation and amortization:
(Millions of dollars),2021,2020,2019
Depreciation and amortization from reportable segments:,Depreciation and amortization from reportable segments:,Depreciation and amortization from reportable segments:,Depreciation and amortization from reportable segments:
Construction Industries,237$,245$,302
Resource Industries,$ 403,418,450
Energy &Transportation,571,593,624
Financial Products Segment,772,773,829
Total depreciation and amortization from reportable segments,"1,983",2.029,2.205
Items not included in segment depreciation and amortization:,Items not included in segment depreciation and amortization:,Items not included in segment depreciation and amortization:,Items not included in segment depreciation and amortization:
All Other operating segment,243,267,210
Cost centers,98,126,135
Other,28,10,27
Total depreciation and amortization,"$ 2,352 $l",2.432,$l 2.577
