(Millions of dolars),"December 31, 2020",Acquisitions,Other Adjustments1,"December 31,2021"
Construction Industries,,,,
Goodwill,320$,4 $,(22) $,302
Impairments,(22),一,二,(22)
Net goodwill,298,4,(22),280
Resource Industries,,,,
Goodwill,"4,253",22,(93),"4,182"
Impairments,"(1,175)",一,二,"(1,175)"
Net goodwill,"3,078",22,(93),"3,007"
Energy &Transportation,,,,
Goodwill,"2,959",49,(23),"2,985"
All Other ²,,,,
Goodwill,59,,(7),52
Consolidated total,,,,
Goodwill,"7,591",75,(145),"7,521"
Impairments,"(1,197)",1,1,"(1,197)"
Net goodwill,"6,394$",75$,(145) $,"6,324"
