"Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives",,,,,,,,
"Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives",Gross Amount Statement Statement,Gross Amount Statement Statement,Gross Amount Statement Statement,Gross Amount Statement Statement,,,,
"Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives",of Recognized of Financial of Financial,of Recognized of Financial of Financial,of Recognized of Financial of Financial,of Recognized of Financial of Financial,Financial Collateral,Financial Collateral,Financial Collateral,NetA
"Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives","Gross Amounts Not Offset in theDecember 31, 2021 Statement of Financial PositionNet AmountGross of AssetsAmounts PresentedOffset in the in theGross Amount Statement Statement Cashof Recognized of Financial of Financial Financial Collateral Net Amount(Millions of dollars) Assets Position Position Instruments Received of AssetsDerivatives",Assets,Assets,Position Position,Position Position,Instruments Received,Instruments Received,Instruments Received,
"Machinery, Energy &Transportation","Machinery, Energy &Transportation","Machinery, Energy &Transportation","Machinery, Energy &Transportation",$ 134 $,$ 134 $,,$ 134 $,(47) $,(47) $,(47) $,$ 87,,,,,,,,
Financial Products,Financial Products,Financial Products,Financial Products,208,208,,208,(67),(67),,141,,,,,,,,
Total,Total,Total,Total,$ 342,$ 342,$,$ 342,$ (114),$ (114),$,$ 228,,,,,,,,
"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",,,,,,,Gross Amounts Not Offset in theStatement of Financial PositionCash,Gross Amounts Not Offset in theStatement of Financial PositionCash,,,,,,,,
"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",,,,,,,,Gross Amounts Not Offset in theStatement of Financial PositionCash,,,,,,,,
"December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)","December 31,2021(Millions of dollars)",,,,Gross Amounts,Gross Amounts,,,,,,,,,,,
