North America,Latin America,EAME,Asia/Pacific,External Sales and Revenues,Inter-Segment,Total Sales and Revenues
$,$,$,$,$,$,$
2021,"9,676","1,913","4,858","5,547","21,994","112,22,106"
$,$,$,$,$,$,"$,$"
Construction Industries,"2,987","1,724","1,987","2,804","9,502","461,9,963"
$,$,$,$,$,$,"$,$"
Resource Industries,"7,611","1,233","4,908","2,918","16,670","3,617,20,287"
$,$,$,$,$,$,"$,$"
Energy & Transportation,56,2,18,69,145,"366,511"
$,$,$,$,$,$,"$,$"
All Other Segment,"20,224","4,871","11,770","11,323","48,188","—,48,188"
$,$,$,$,$,$,"$,$"
"Machinery, Energy & Transportation","1,935",265,402,471,"3,073","—,3,073"
$,$,$,$,$,$,"$,$"
Corporate Items and Eliminations,(106),(1),(1),(15),(123),"(4,556),(4,679)"
$,$,$,$,$,$,"$,$"
Financial Products Segment,"1,799",215,367,402,"2,783","—,2,783"
$,$,$,$,$,$,"$,$"
Corporate Items and Eliminations,(136),(50),(35),(69),(290),"—,(290)"
$,$,$,$,$,$,"$,$"
Financial Products Revenues,"1,755",216,354,401,"2,726","—,2,726"
$,$,$,$,$,$,"$,$"
Consolidated Sales and Revenues,"22,023","5,086","12,137","11,725","50,971","—,50,971"
$,$,$,$,$,$,"$,$"
2020,"7,365","1,031","3,466","5,014","16,876","42,16,918"
$,$,$,$,$,$,"$,$"
Construction Industries,"2,286","1,253","1,570","2,337","7,446","460,7,906"
$,$,$,$,$,$,"$,$"
Resource Industries,"6,843",932,"4,448","2,441","14,664","2,806,17,470"
$,$,$,$,$,$,"$,$"
All Other Segment,27,4,26,56,113,"354,467"
$,$,$,$,$,$,"$,$"
Corporate Items and Eliminations,(62),(4),(6),(5),(77),"(3,662),(3,739)"
$,$,$,$,$,$,"$,$"
"Machinery, Energy & Transportation","16,459","3,216","9,504","9,843","39,022","—,39,022"
$,$,$,$,$,$,"$,$"
Financial Products Segment,"1,930",392,465,"3,044",—,"—,3,044"
$,$,$,$,$,$,"$,$"
Corporate Items and Eliminations,(175),(38),(64),(318),—,"—,(318)"
$,$,$,$,$,$,"$,$"
Financial Products Revenues,"1,755",216,354,401,"2,726","—,2,726"
$,$,$,$,$,$,"$,$"
Consolidated Sales and Revenues,"18,214","3,432","9,858","10,244","41,748","—,41,748"
$,$,$,$,$,$,"$,$"
1,"Includes revenues from Machinery, Energy & Transportation of $351 million and $362 million in 2021 and 2020, respectively.",,,,,
