,,,,,"Total Assets/ Measured at Liabilities,","Total Assets/ Measured at Liabilities,"
(Millions of dollars),Level1,Level2,Level3,,NAV,atFair Value
Assets,,,,,,
Debt securities,,,,,,
Government debt,,,,$,,
U.S. treasury bonds,,10$,1$,一,,10
Other U.S.and non-U.S. government bonds,,,61,,,61
Corporate bonds,,,"1,046",,,
Corporate bonds,,,,,,"1,046"
Asset-backed securities,,,176,,,176
Mortgage-backed debt securities,,,,,,
U.S. governmental agency,,,,,,325
Residential,,,,,,4
Commercial,,,,,,99
Total debt securities,10,"1,711",,,,"1,721"
Equity securities,,,,,,
Large capitalization value,217,,,,,217
Smaller company growth,98,,,,,98
REIT,二,,,,167,167
Total equity securities,315,,,,167,482
Derivative financial instruments - assets,,,,,,
Foreign currency contracts - net,,168,,,,168
Interest rate contracts - net,,,,,,23
Commodity contracts - net Total Assets,325,"1,923",$,$l,167,"21 2,415"
