(Millions of dollars),"December31,2021","December31,2021","December31,2021","December31,2021","December31,2021","December31,2021","December31,2021",
,,,,,,,Revolving Finance,Total Finance
,2021,2020,2019,2018,2017,Prior,Receivables,Receivables
North America,,,,,,,,
Current,"4,792 $","2,596 $","1,426 $",630$,182 $,32$,182$,"9,840"
31-60 days past due,27,32,20,12,4,1,5,101
61-90 days past due,7,8,5,3,1,1,5,30
91+ days past due,9,17,12,13,5,4,5,65
EAME,,,,,,,,
Current,"1,499",836,577,352,140,26,,"3,430"
31-60 days past due,5,4,3,1,1,,,14
61-90 days past due,3,3,3,1,一,,,10
91+ days past due,3,11,2,2,,2,,20
Asia/Pacific,,,,,,,,
Current,"1,271",803,307,71,16,2,,"2,470"
31-60 days past due,10,14,10,2,,,,36
61-90 days past due,3,7,4,1,,,,15
91+ days past due,2,10,10,3,,,,25
Mining,,,,,,,,
Current,851,347,307,193,36,161,36,"1,931"
31-60 days past due,6,,,,,,,6
61-90 days past due,1,,,,4,,,5
91+ days past due,,1,8,9,3,1,,22
Latin America,,,,,,,,
Current,617,299,160,70,17,18,,"1,181"
31-60 days past due,4,7,3,3,1,,,18
61-90 days past due,3,3,1,1,,,,8
91+ days past due,4,9,9,7,7,14,,50
Caterpillar Power Finance,,,,,,,,
Current,117,145,97,70,180,104,101,814
31-60 days past due,,,,,,,,
61-90 days past due,,,,,,二,,1
91+ days past due,$,,,,,44,,44
Total Customer,"9,234","5,152$","2,964","1,444",597,410,334 $,"20,135"
(Millionsof dollars),"December31,2020","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020","December31,2020"
(Millionsof dollars),,,,,,,Revolving Finance,Total Finance
(Millionsof dollars),2020,2019,2018,2017,2016,Prior,Receivables,Receivables
North America,,,,,,,,
Current,"3,777$","2,423$","1,344 $",522 $,212 $,27 $,89$,"8,394"
31-60 days past due,52,49,33,16,7,2,,159
61-90 days past due,22,25,16,9,2,1,,75
91+ days past due,14,35,31,20,9,4,2,115
EAME,,,,,,,,
Current,"1,605",931,501,203,60,18,一,3.318
31-60 days past due,5,15,3,2,,,,25
61-90 days past due,1,1,2,1,一,一,,5
91+ days past due,7,7,12,4,39,43,,112
Asia/Pacific,,,,,,,,
Current,"1,375",745,321,61,10,3,,"2,515"
31-60 days past due,12,22,13,6,,,,53
61-90 days past due,7,11,7,1,,,,26
91+ days past due,4,10,9,3,,,,26
Mining,,,,,,,,
Current,490,571,287,152,92,151,137,"1,880"
31-60 days past due,5,,5,1,,,,11
61-90 days past due,,,,,,,,1
91+ days past due,,11,8,2,,,1,22
Latin America,,,,,,,,
Current,561,348,151,48,13,34,,"1,155"
31-60 days past due,3,6,4,3,一,,,16
61-90 days past due,1,7,6,3,2,,,19
91+ days past due,2,14,11,24,5,4,一,60
Caterpillar Power Finance,,,,,,,,
Current,217,172,111,273,99,117,119,"1,108"
31-60 days past due,,,6,,,,,6
61-90 days past due,,,一,,一,9,,9
91+ days past due,2,,20,3,25,79,,129
Total Customer,"8,162","5,403","2,901",1.357,575,492,348,19.238
