(Dollars in millions),Common stock,Treasury stock,Profit employed in the business,Accumulated other comprehensive income (loss),Noncontrolling interests,Total
Balance at January 1, 2021,$6,230,$(25,178),"$35,167,$(888),$47,$15,378"
Profit (loss) of consolidated and affiliated companies,--,--,6,489,--,"4,6,493"
Foreign currency translation, net of tax,--,--,--,$(598),"--,$(598)"
Pension and other postretirement benefits, net of tax,--,--,--,$(30),"--,$(30)"
Derivative financial instruments, net of tax,--,--,--,$(3),"--,$(3)"
Available-for-sale securities, net of tax,--,--,--,$(34),"--,$(34)"
Change in ownership from noncontrolling interests,--,--,--,--,$(14),$(14)
Dividends declared 1,--,--,$(2,374),--,"--,$(2,374)"
Distribution to noncontrolling interests,--,--,--,--,$(4),$(4)
Common shares issued from treasury stock for stock-based compensation: 3,571,503,$(68),203,--,"--,--,135"
Stock-based compensation expense,200,--,--,--,--,200
Common shares repurchased: 12,987,299 2,--,$(2,668),"--,--,$(2,668)"
Other,36,--,--,--,$(1),35
Balance at December 31, 2021,$6,398,$(27,643),"$39,282,$(1,553),$32,$16,516"
