,"December 31,2021","December 31,2021","December 31,2021","December 31,2021","December 31,2021","December 31,2021"
(Millions of dollars),Level1,Level 2,Level3,,Measured at NAV,Total Assets at FairValue
Other Postretirement Benefits,,,,,,
Equity securities:,,,,,,
U.S. equities,49$,,$,,1$,49
Non-U.S. equities,17,,,,一,17
"Cash,short-term instruments and other",一,,,,62,64
Total other postretirement benefit assets,66,,2$,$,62$,130
,,,"December 31,2020",,,
,Level 1,,,,Measured at,Total Assets at
(Milions of dollars) Other Postretirement Benefits,,Level2,Level3,,NAV,Fair Value
Equity securities:,,,,,,
U.S. equities,,,$,,,
Non-U.S. equities,88$,,,$,,88
Fixed income securities:,21,,,,,21
U.S. corporate bonds,,,,,,
Non-U.S. corporate bonds,,,,,,12
U.S. government bonds,,,,,,2
U.S. governmental agency mortgage-backed securities,,,,,,3 6
Non-U.S. government bonds,,,,,,3
"Cash,short-term instruments and other",,,,,10,12
Total other postretirement benefit assets,109,27,$,$,11,147
