Sales and Revenues by Geographic Region,North America,Latin America,EAME,Asia/ Pacific,External Sales and Revenues,Intersegment Sales and Revenues,Total Sales and Revenues
2021,Construction Industries,"$ 9,676","$ 1,913","$ 4,858","$ 5,547","$ 21,994","$ 112,$ 22,106"
,Resource Industries,"2,987","1,724","1,987","2,804","9,502","461,9,963"
,Energy & Transportation,"7,611","1,233","4,908","2,918","$ 16,670","3,617,20,287"
,Financial Products Segment,"1,935",265,402,471,"$ 3,073","—,3,073"
,Total sales and revenues from reportable segments,"22,209","5,135","12,155","11,740","51,239","4,190,55,429"
,All Other operating segment,56,2,18,69,145,"366,511"
,Corporate Items and Eliminations,(242),(51),(36),(84),(413),"(4,556),(4,969)"
,Total Sales and Revenues,"$ 22,023","$ 5,086","$ 12,137","$ 11,725","$ 50,971","—,$ 50,971"
2020,Construction Industries,"$ 7,365","$ 1,031","$ 3,466","$ 5,014","$ 16,876","$ 42,$ 16,918"
,Resource Industries,"2,286","1,253","1,570","2,337","7,446","460,7,906"
,Energy & Transportation,"6,843",932,"4,448","2,441","14,664","2,806,17,470"
,Financial Products Segment,"1,930",257,392,465,"3,044","—,3,044"
,Total sales and revenues from reportable segments,"18,424","3,473","9,876","10,257","42,030","3,308,45,338"
,All Other operating segment,27,4,26,56,113,"354,467"
,Corporate Items and Eliminations,(237),(45),(44),(69),(395),"(3,662),(4,057)"
,Total Sales and Revenues,"$ 18,214","$ 3,432","$ 9,858","$ 10,244","$ 41,748","—,$ 41,748"
2019,Construction Industries,"$ 11,455","$ 1,533","$ 4,012","$ 5,556","$ 22,556","$ 93,$ 22,649"
,Resource Industries,"3,632","1,533","1,836","2,812","9,813","463,10,276"
,Energy & Transportation,"8,864","1,389","4,994","3,238","18,485","3,612,22,097"
,Financial Products Segment,"2,235",299,408,492,"3,434","—,3,434"
,Total sales and revenues from reportable segments,"26,186","4,754","11,250","12,098","54,288","4,168,58,456"
,All Other operating segment,25,7,28,67,127,"373,500"
,Corporate Items and Eliminations,(426),(51),(55),(83),(615),"(4,541),(5,156)"
,Total Sales and Revenues,"$ 25,785","$ 4,710","$ 11,223","$ 12,082","$ 53,800","—,$ 53,800"
