,2021 Benefit Cost Increase (Decrease),2021 Benefit Cost Increase (Decrease),2021 Benefit Cost Increase (Decrease),2021 Benefit Cost Increase (Decrease),Year-end Benefit Obligation Increase (Decrease),Year-end Benefit Obligation Increase (Decrease),Year-end Benefit Obligation Increase (Decrease),Year-end Benefit Obligation Increase (Decrease)
(Millions of ollars),One percentage- point increase,One percentage- point increase,One percentage- point decrease,One percentage- point decrease,One percentage- point increase,One percentage- point increase,One percentage- point decrease,
U.S. Pension benefits: 1,,,,,,,,
Assumed discount rate,$,115,$,(149),$,"(1,910)","$ 2,329",
Expected long-term rate of return on plan assets,,(171),,171,,,,
Non-U.S. Pension benefits:,,,,,,,,
Assumed discount rate,,22,,(30),,(591),756,
Expected rate of compensation increase,,5,,(4),,39,(32),
Expected long-term rate of return on plan assets,,(44),,44,,1,1,
Other postretirement benefits:,Other postretirement benefits:,Other postretirement benefits:,Other postretirement benefits:,Other postretirement benefits:,Other postretirement benefits:,Other postretirement benefits:,Other postretirement benefits:,
Assumed discount rate,,12,,(14),(343),,413,
Expected rate of compensation increase,,一,,,,1,(1),
Expected long-term rate of return on plan assets,,(1),,1,,,1,
Effectie,Effectie,Effectie,Effectie,Effectie,Effectie,Effectie,Effectie,
