Assets,Level 1,Level 2,Level 3,Measured at NAV,"Total Assets/Liabilities, at Fair Value"
Debt securities,,,,,
Government debt,,,,,
U.S. treasury bonds,$ 10,,,,$ 10
Other U.S. and non-U.S. government bonds,,$ 59,,,$ 59
Corporate bonds,,"$ 1,012",,,"$ 1,012"
Asset-backed securities,,$ 159,,,$ 159
Mortgage-backed debt securities,,$ 374,,,$ 374
U.S. governmental agency,,$ 5,,,$ 5
Residential,,$ 64,,,$ 64
Commercial,,$ 64,,,$ 64
Total debt securities,$ 10,"$ 1,673",,,"$ 1,683"
Equity securities,,,,,
Large capitalization value,$ 199,,,$ 199,$ 199
Smaller company growth,$ 58,,,$ 58,$ 58
REIT,,,$ 148,$ 148,$ 148
Total equity securities,$ 257,,$ 148,$ 405,$ 405
Derivative financial instruments - assets,,,,,
Interest rate contracts - net,,$ 58,,,$ 58
Commodity contracts - net,,$ 37,,,$ 37
Total Assets,$ 267,"$ 1,768",,$ 148,"$ 2,183"
Liabilities,,,,,
Derivative financial instruments - liabilities,,,,,
Foreign currency contracts - net,,$ 112,,,$ 112
Total Liabilities,,$ 112,,,$ 112
