Foreign currency translation:,2021,2020,2019
Beginning balance,$(910),"$(1,487)","$(1,601)"
Adjustments to adopt new accounting guidance related to reclassification of certain tax effects from AOCI,-,-,98
Balance at January 1,$(910),"$(1,487)","$(1,503)"
Gains (losses) on foreign currency translation,$(559),513,21
Less: Tax provision /(benefit),41,(42),5
Net gains (losses) on foreign currency translation,$(600),555,16
(Gains) losses reclassified to earnings,2,22,-
Less: Tax provision /(benefit),-,-,-
Net (gains) losses reclassified to earnings,2,22,-
"Other comprehensive income (loss), net of tax",$(598),577,16
Ending balance,"$(1,508)",$(910),"$(1,487)"
Pension and other postretirement benefits,Beginning balance,$(32),"$(3),12"
Adjustments to adopt new accounting guidance related to reclassification of certain tax effects from AOCI,-,-,19
Balance at January 1,$(32),$(3),31
Current year prior service credit (cost),-,(1),(4)
Less: Tax provision /(benefit),-,-,-
Net current year prior service credit (cost),-,(1),(4)
Amortization of prior service (credit) cost,(40),(38),(40)
Less: Tax provision /(benefit),(10),(10),(10)
Net amortization of prior service (credit) cost,(30),(28),(30)
"Other comprehensive income (loss), net of tax",(30),(29),(34)
Ending balance,$(62),$(32),$(3)
Derivative financial instruments,Beginning balance,-,"$(97),$(80)"
Adjustments to adopt new accounting guidance related to reclassification of certain tax effects from AOCI,-,-,(9)
Balance at January 1,-,(97),(89)
Gains (losses) deferred,195,(116),57
Less: Tax provision /(benefit),21,(25),14
Net gains (losses) deferred,174,(91),43
(Gains) losses reclassified to earnings,(196),241,(66)
Less: Tax provision /(benefit),(19),53,(15)
Net (gains) losses reclassified to earnings,(177),188,(51)
"Other comprehensive income (loss), net of tax",(3),97,(8)
Ending balance,$(3),-,$(97)
Available-for-sale securities,Beginning balance,54,"20,$(15)"
Adjustments to adopt recognition and measurement of financial assets and liabilities guidance,-,-,-
Balance at January 1,54,20,$(15)
Gains (losses) deferred,(39),45,45
Less: Tax provision /(benefit),(8),10,10
Net gains (losses) deferred,(31),35,35
(Gains) losses reclassified to earnings,(4),(1),-
Less: Tax provision /(benefit),(1),-,-
Net (gains) losses reclassified to earnings,(3),(1),-
"Other comprehensive income (loss), net of tax",(34),34,35
Ending balance,20,54,20
Total AOCI Ending Balance at December 31,"$(1,553)",$(888),"$(1,567)"
