,,Treasury,Treasury,Profit Accumulated employed other,Profit Accumulated employed other,Noncontrolling,Noncontrolling
(Dollars in milions),Common stock $,stock,inthe business $,comprehensive income (loss),interests,"Total S 14,080",
"Balance at December 31,2018 Adjustments to adopt new accounting","5,827","$ (20,531) $","30,427","(1,684）$",41,,
guidance,,,,,,,
Lease accounting Reclassification of certain tax effects from,,,235,,,235,
accumulated other comprehensive income,,,(108),108,,,
"Balance at January 1,2019 $ Profit (loss)ofconsolidated andaffiliated","5,827","$ (20,531） $","30,554 $","(1,576) $",41,"14,315",
companies,,,"6,093",,1,6.094,
"Foreign currency translation, net of tax Pension and other postretirement benefits,",,,,16,,16,
net of tax,,,,(34),,(34),
"Derivative financial instruments,net of tax",,,,（8）,,（8,
"Available-for-sale securities, net of tax",,,,35,,35,
Dividends declared,一,,"(2,210)",1,一,(2.210),
Distribution to noncontrolling interests Common shares issued from treasury stock,,,,,(3),(3）,
"for stock-based compensation: 5,26,379",(4),242,,,,238,
Stock-based compensation expense,205,,,,,205,
"Common shares repurchased: 30,586,507",1,(3.928),,,一,(3.928),
Other,(93),,"34,437$",,2,(91),
"Balance at December 31, 2019 $ Adjustments to adopt new accounting",,"5,935$(24,217)$",,"(1,567) $",,"41$14,629",
guidance,,,,,,,
"Credit losses Balance at January 1, 2020 $",,,"(25) 34,412 $",,,(25),
Profit (lossof consolidated andafiliated,"5,935$","(24,217) $",,"(1,567) $",,"41$ 14,604",
"companies Foreign currency translation, net of tax",,,2.998,,5,3.003,
"Pension and other postretirement benefits,",,,,577,,577,
net of tax,,,,(29),,(29),
"Derivative financial instruments, net of tax Available-for-sale securities,netof tax",,,,97,,97,
Dividends declared,1,一,,34,1,34,
Common shares issued from treasury stock,,,(2.247),,,(2.247),
"for stock-based compensation: 5,317,243",(61),290,,,,229,
Stock-based compensation expense,202,,,,,202,
"Common shares repurchased: 10,096,006",1,"(1,250)",,一,,(1.250),
Other,154,(1),4,,1,158,
"Balance at December 31,2020 $",,"6,230$(25,178)$","35,167$",(888) $,,"47$15,378",
