U.S. Pension Benefits,2021,2020,Non-U.S. Pension Benefits,2021,2020,Other Postretirement Benefits,2021,2020
"Accumulated benefit obligation, end of year","$17,895","$19,177","$4,311","$4,680","$4,051","$3,960","$4,051","$3,960"
Change in benefit obligation:,"Benefit obligation, beginning of year","$19,177","$17,773","$4,847","$4,666","$4,051","$3,960","$3,960"
Service cost,—,—,57,55,100,94,—,—
Interest cost,330,483,53,68,64,103,—,—
Plan amendments,—,—,—,6,—,—,—,—
Actuarial losses (gains),(610),"1,922",(142),258,(211),192,—,—
Foreign currency exchange rates,—,—,(154),213,(15),(25),—,—
Participant contributions,—,—,4,4,48,44,—,—
Benefits paid - gross,(996),(997),(184),(159),(310),(317),—,—
Less: federal subsidy on benefits paid,—,—,—,—,9,8,—,—
"Curtailments, settlements and termination benefits",(6),(4),(45),(264),—,—,—,—
"Benefit obligation, end of year","$17,895","$19,177","$4,436","$4,847","$3,736","$4,051","$4,051","$3,960"
Change in plan assets:,"Fair value of plan assets, beginning of year","$17,589","$15,994","$4,731","$4,525",$147,$255,$255
Actual return on plan assets,595,"2,552",99,385,34,23,—,—
Foreign currency exchange rates,—,—,(139),164,—,—,—,—
Company contributions,45,44,84,76,211,142,—,—
Participant contributions,—,—,4,4,48,44,—,—
Benefits paid,(996),(997),(184),(159),(310),(317),—,—
Settlements and termination benefits,(6),(4),(43),(264),—,—,—,—
"Fair value of plan assets, end of year","$17,227","$17,589","$4,552","$4,731",$130,$147,$147,$147
Over (under) funded status,$(668),"$(1,588)",$116,$(116),"$(3,606)","$(3,904)","$(3,606)","$(3,904)"
Components of net amount recognized in financial position:,Other assets (non-current asset),$592,$409,$538,$556,—,—,—
"Accrued wages, salaries and employee benefits (current liability)",(45),(44),(16),(25),(240),(186),—,—
Liability for postemployment benefits (non-current liability),"$(1,215)","$(1,953)",$(406),$(647),"$(3,366)","$(3,718)",—,—
Net (liability) asset recognized,$(668),"$(1,588)",$116,$(116),"$(3,606)","$(3,904)","$(3,606)","$(3,904)"
Amounts recognized in Accumulated other comprehensive income (pre-tax) consist of:,Prior service cost (credit),$—,$—,$23,$24,$(5),$—,$(46)
1,"Effective December 31, 2019, all U.S. pension benefits were frozen, and accordingly there is no longer any service cost.",,,,,,,
2,"For 2021, Actuarial loss (gain) impacting the benefit obligation was primarily due to higher discount rates at the end of 2021 compared to the end of 2020. For 2020, Actuarial loss (gain) impacting the benefit obligation was primarily due to lower discount rates at the end of 2020 compared to the end of 2019.",,,,,,,
3,"The Liability for postemployment benefits reported in Statement 3 includes our liability for other postemployment benefits and our liability for non-qualified deferred compensation plans. For 2021, these liabilities were $67 million and $538 million, respectively. For 2020, these liabilities were $63 million and $491 million, respectively.",,,,,,,
