Profit (Loss) by Segment,,,
(Millions of dollars),2021,2000,$ Change
Construction Industries,"$ 3,706","$ 2,373","$ 1,333"
Resource Industries,"1,291",896,395
Energy & Transportation,"2,768","2,405",363
All Other Segment,(14),28,(42)
Corporate Items and Eliminations,"(1,388)","(1,381)",(7)
"Machinery, Energy & Transportation","6,363","4,321","2,042"
Financial Products Segment,908,590,318
Corporate Items and Eliminations,,(53),
Financial Products,,,279
Consolidating Adjustments,816 (301),537 (305),2.325
Consolidated Operating Profit,"$ 6,878","$ 4,553","$ 2,325"
