Sales and Revenues by Geographic Region,,,,
(Millions of dollars),,,,
Fourth Quarter,,,,2021
Construction,,,,
Industries,,,,
"$ 2,635 39% $ 563 74% $ 1,246 47% $ 1,245 (12%) $ 5,689 27% $ 47 96% $",,,"5,736",27%
Resource,,,,
Industries,,,,
"857 44% 415 5% 532 29% 839 29% 2,643 29%",119,(6%),"2,762",27%
Energy &,,,,
Transportation,,,,
"1,913 12% 398 50% 1,475 9% 965 36% 4,751 18%",977,25%,"5,728",19%
All Other Segment,,,,
14 180% 1 —% 8 (11%) 15 (17%) 38 19%,96,(9%),134,(2%)
Corporate Items,,,,
and Eliminations,,,,
(17) — — — —,(7),(24),"(1,239)","(1,263)"
"Machinery, Energy &",,,,
Transportation,,,,
"5,402 29% 1,377 40% 3,261 24% 3,057 9% 13,097 24% — —%",,,"13,097",24%
Financial Products,,,,
Segment,,,,
493 6% 70 9% 101 7% 112 (7%) 776 1 4% — —%,,,776,4%
Corporate Items,,,,
and Eliminations,,,,
(37) (15),(9),(14),(75),(75)
Financial Products,,,,
Revenues,,,,
456 8% 55 2% 92 10% 98 (6%) 701 5% — —%,,,701,5%
Consolidated,,,,
Sales and,,,,
Revenues,,,,
"$ 5,858 27% $ 1,432 38% $ 3,353 24% $ 3,155 9% $ 13,798 23% $ — —% $",,,"13,798",23%
Fourth Quarter,,,,2020
Construction,,,,
Industries,,,,
"$ 1,895 $ 324 $ 848 $ 1,417 $ 4,484 $ 24 $",,,,"4,508"
Resource,,,,
Industries,,,,
596 394 412,651,"2,053",127,"2,180"
Energy &,,,,
Transportation,,,,
"1,705 265 1,353",707,"4,030",781,"4,811"
All Other Segment,,,,
5 — 9,18,32,105,137
Corporate Items,,,,
and Eliminations,,,,
(27) 1 (2),(1),(29),"(1,037)","(1,066)"
"Machinery, Energy &",,,,
Transportation,,,,
"4,174 984 2,620 2,792","10,570",—,—,"10,570"
Financial Products,,,,
Segment,,,,
464 64 94 121 743,1,—,—,743
Corporate Items,,,,
and Eliminations,,,,
(41) (10) (10) (17) (78),—,—,—,(78)
Financial Products,,,,
Revenues,,,,
423 54 84 104 665,—,—,—,665
Consolidated,,,,
Sales and,,,,
Revenues,,,,
"$ 4,597 $ 1,038 $ 2,704 $ 2,896 $ 11,235 $ — — $",,,,"11,235"
"1 Includes revenues from Machinery, Energy & Transportation of $88 million for both the three months ended December 31, 2021 and 2020.",,,,
