Computations of profit per share:,2021,2020,2019
(Dollars in millions except per share data),Profit for the period (A),Profit for the period (A),Profit for the period (A)
,$,$,$
,Determination of shares (in millions):,Weighted average number of common shares outstanding (B),"Weighted average number of common shares outstanding (B),Weighted average number of common shares outstanding (B)"
,544.0,544.1,561.6
,"Shares issuable on exercise of stock awards, net of shares assumed to be purchased out of","Shares issuable on exercise of stock awards, net of shares assumed to be purchased out of","Shares issuable on exercise of stock awards, net of shares assumed to be purchased out of"
,proceeds at average market price,proceeds at average market price,proceeds at average market price
,4.5,4.5,5.9
,Average common shares outstanding for fully diluted computation (C),Average common shares outstanding for fully diluted computation (C),Average common shares outstanding for fully diluted computation (C)
,548.5,548.6,567.5
,Profit per share of common stock:,Profit per share of common stock:,Profit per share of common stock:
,Assuming no dilution (A/B),Assuming no dilution (A/B),Assuming no dilution (A/B)
,$,$,$
,Assuming full dilution (A/C),Assuming full dilution (A/C),Assuming full dilution (A/C)
,$,$,$
,Shares outstanding as of December 31 (in millions),Shares outstanding as of December 31 (in millions),Shares outstanding as of December 31 (in millions)
,535.9,545.3,550.1
,Profit attributable to common shareholders.,Profit attributable to common shareholders.,Profit attributable to common shareholders.
,1,1,1
