,Consolidated Statement of Financial Position Location,,
(Millions of dollars),,"Asset (Liability)Fair Value Years ended December 31,","Asset (Liability)Fair Value Years ended December 31,"
,,2021,2020
Designated derivatives,,,
Foreign exchange contracts,Foreign exchange contracts,Foreign exchange contracts,Foreign exchange contracts
"Machinery, Energy&Transportation",Receivables - trade and other,58$,74
"Machinery, Energy &Transportation",Long-term receivables 一 trade and other,28,71
"Machinery, Energy&Transportation",Accrued expenses,(26),(36)
"Machinery, Energy &Transportation",Other liabilities,(6),(1)
Financial Products,Receivables—trade and other,109,1
Financial Products,Long-term receivables 一 trade and other,33,1
Financial Products,Accrued expenses,(32),(148)
Interest rate contracts,,,
"Machinery, Energy &Transportation",Long-term receivables一trade and other,一,4
Financial Products,Receivables -trade and other,7,2
Financial Products,Long-term receivables 一 trade and other,31,57
Financial Products,Accrued expenses,(15),(5)
,,187$,20
Undesignated derivatives Foreign exchange contracts,,,
"Machinery, Energy&Transportation",,,
"Machinery, Energy &Transportation",Receivables-trade and other,18$,10
Financial Products,Accrued expenses,(6),(1)
Financial Products,Receivables - trade and other,21,17
Financial Products,Long-term receivables一trade and other,7,7
Commodity contracts,Accrued expenses,(36),(107)
"Machinery,Energy&Transportation",,,
,Receivables-trade and other,30,35
"Machinery, Energy &Transportation",Long-term receivables 一 trade and other,1,2
"Machinery, Energy &Transportation",Accrued expenses,（9),1
,,25$,(37)
