(Millions of dollars),Useful,"December 31,","December 31,"
(Millions of dollars),Useful,Lives (Years) 2021 $,2020
Land,一,648$,681
Buildings and land improvements,20-45,"7,113","7,091"
"Machinery,equipmentandother",2-10,"12,868","13,004"
Software,3-7,"1,697","1,679"
Equipment leased to others,1-7,"5,733","6,077"
Construction-in-process,丨,812,739
"Total property, plant and equipment,atcost",,"28,871","29,271"
Less: Accumulated depreciation,,"(16,781)","(16,870)"
"Property, plant and equipment-net",,"12,090","12,401"
