Profit (Loss)by Segment,Fourth Quarter,Fourth Quarter,$,%
(Millions of dollars),2021 $,2020 630$,Change 158,Change 25%
Construction Industries,788$,,,12%
Resource Industries,305,273,32,
Energy&Transportation,675,687,(12),(2%)
All O0ther Segment Corporate Items and Eliminations,(12),(3) (281),(9),(300%)
"Machinery, Energy & Transportation","(281) 1,475","1,306",二 169,13%
Financial Products Segment,248,195,53,27%
Corporate Items and Eliminations,,(47),10,
Financial Products,(37) 211,148,63,43%
Consolidating Adjustments,(75),（74),(1),
Consolidated Operating Profit,"$ 1,611 $","1,380",$ 231,17%
