Profit (Loss) by Segment,2021,2020,$ Change,% Change
Construction Industries,"$ 3,706","$ 2,373","$ 1,333",56%
Resource Industries,"1,291",896,395,44%
Energy & Transportation,"2,768","2,405",363,15%
All Other Segment,(14),28,(42),n/a
Corporate Items and Eliminations,"(1,388)","(1,381)",(7),n/a
"Machinery, Energy & Transportation","6,363","4,321","2,042",47%
Financial Products Segment,908,590,318,54%
Corporate Items and Eliminations,(92),(53),(39),n/a
Financial Products,816,537,279,52%
Consolidating Adjustments,(301),(305),4,n/a
Consolidated Operating Profit,"$ 6,878","$ 4,553","$ 2,325",51%
