Level 1,Level 2,Level 3,Measured at NAV,Total Assets at Fair Value
Other Postretirement Benefits,,,,
Equity securities:,,,,
U.S. equities,$49,$,$,"$,$"
Non-U.S. equities,$17,$,$,"$,$"
"Cash, short-term instruments and other",$,$2,$,"$62,$64"
Total other postretirement benefit assets,$66,$2,$,"$62,$130"
Other Postretirement Benefits,,,,
Equity securities:,,,,
U.S. equities,$,$88,$,"$,$"
Non-U.S. equities,$,$21,$,"$,$"
Fixed income securities:,,,,
U.S. corporate bonds,$,$,$11,"$,$"
Non-U.S. corporate bonds,$,$,$2,"$,$"
U.S. government bonds,$,$,$3,"$,$"
U.S. governmental agency mortgage-backed securities,$,$,$6,"$,$"
Non-U.S. government bonds,$,$,$3,"$,$"
"Cash, short-term instruments and other",$,$,$,"$10,$12"
Total other postretirement benefit assets,$109,$27,$,"$11,$147"
