Reconciliation of Capital expenditures:,,,
Capital expenditures from reportable segments:,Construction Industries,$255,"$213,$201"
,Resource Industries,199,"125,168"
,Energy & Transportation,627,"495,613"
,Financial Products Segment,1218,"1100,1534"
Total capital expenditures from reportable segments:,,2299,"1933,2516"
Items not included in segment capital expenditures:,All Other operating segment,182,"156,131"
,Cost centers,56,"47,101"
,Timing,-74,"19,-11"
,Other,9,"-40,-68"
Total capital expenditures:,,2472,"2115,2669"
