Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,,,,,,,,,,,,
Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,%$ Chg,%$ Chg,%$ Chg,%$ Chg,%$ Chg,%$ Chg,%$ Chg,%$ Chg,%$ Chg,%$ Chg,%$ Chg,%$ Chg
Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,Sales and Revenues by Geographic RegionExternal Sales and Total Sales andNorth America Latin America EAME Asia/Pacific Revenues Inter-Segment Revenues% % % % % % %(Milions of dollars) $ Chg $ Chg $ Chg $ Chg $ Chg $ Chg $ ChgFourth Quarter 2021,%$ Chg,%$ Chg,,,,,,,,,,
ConstructionIndustries,$2.63539%,$2.63539%,$ 563 74%,$ 563 74%,"$ 1,24647%","$ 1,24647%",$ 1.245 (12%),$ 1.245 (12%),$ 5.68927%,$ 5.68927%,,,$ 5.736 27%,$ 5.736 27%,,,,,,,,,,,,
Resource,,,,,,,,,,,,,"2,76227%","2,76227%",,,,,,,,,,,,
Industries,857,44%,4155%,4155%,532,29%,83929%,83929%,"2,643",29%,119 (6%),119 (6%),"2,76227%","2,76227%",,,,,,,,,,,,
Energy &,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation,"1,913",12%,398 50%,398 50%,"1,475",9%,96536%,96536%,"4,751",18%,977 25%,977 25%,"5,728 19%",19%,,,,,,,,,,,,
All Other Segment,,14 180%,1-%,1-%,,8 (11%),15 (17%),15 (17%),38,19%,96 (9%),96 (9%),134,134(2%),,,,,,,,,,,,
Corporate Items,,,,,,,,,,,,,,,,,,,,,,,,,,
