"(Dollars in millions except per share data)Three Months Ended December 31,2021-US GAAPPension/OPEB mark-to-market (gains) lossesRestructuring (income) costs",,,,Provision,,,
"(Dollars in millions except per share data)Three Months Ended December 31,2021-US GAAPPension/OPEB mark-to-market (gains) lossesRestructuring (income) costs",,Operating,Profit,(Benefit),,,
"(Dollars in millions except per share data)Three Months Ended December 31,2021-US GAAPPension/OPEB mark-to-market (gains) lossesRestructuring (income) costs",Operating,Profit,Before,for Income,Effective,,Profit per
"(Dollars in millions except per share data)Three Months Ended December 31,2021-US GAAPPension/OPEB mark-to-market (gains) lossesRestructuring (income) costs",Profit,Margin,Taxes,Taxes,Tax Rate,Profit,Share
"(Dollars in millions except per share data)Three Months Ended December 31,2021-US GAAPPension/OPEB mark-to-market (gains) lossesRestructuring (income) costs","$1,611",,,,,,
"(Dollars in millions except per share data)Three Months Ended December 31,2021-US GAAPPension/OPEB mark-to-market (gains) lossesRestructuring (income) costs","$1,611",11.7%,"$2,562",$ 429,16.7%,"$2,120",$ 3.91
"(Dollars in millions except per share data)Three Months Ended December 31,2021-US GAAPPension/OPEB mark-to-market (gains) lossesRestructuring (income) costs",1,1%,(833),(190),22.8%,(643),$ (1.19)
"(Dollars in millions except per share data)Three Months Ended December 31,2021-US GAAPPension/OPEB mark-to-market (gains) lossesRestructuring (income) costs",(34),(0.2)%,(34),(15),44.1%,(19),$ (0.03)
"Three Months Ended December 31,2021-Adjusted","$1,577",11.4%,"$1,695",S 224,13.2%,"$1,458",$ 2.69
"Three Months Ended December 31,2020 -US GAAP",,,,,,,
"Three Months Ended December 31,2020 -US GAAP","$ 1,380",12.3%,$ 941,$ 167,17.7%,$ 780,$ 1.42
Pension/OPEB mark-to-market (gains) lossesRestructuring (income) costs,1,1%,438,92,21.0%,346,$ 0.63
Pension/OPEB mark-to-market (gains) lossesRestructuring (income) costs,58,0.5%,58,18,31.0%,40,$ 0.07
"Three Months Ended December 31,2020 -Adjusted","$1,438",12.8%,"$1,437",$ 277,19.3%,"$1,166",$ 2.12
"Twelve Months Ended December 31,2021-US GAAP",,,,,,,
"Twelve Months Ended December 31,2021-US GAAP","$6,878",13.5%,"$8,204","$1,742",21.2%,"$6,489",$11.83
"Pension/OPEB mark-to-market (gains) lossesRestructuring (income) costsTwelve Months Ended December 31,2021-Adjusted",1,1%,(833),(190),22.8%,(643),$(1.17)
"Pension/OPEB mark-to-market (gains) lossesRestructuring (income) costsTwelve Months Ended December 31,2021-Adjusted",90,0.2%,90,4,4.4%,86,$ 0.15
"Pension/OPEB mark-to-market (gains) lossesRestructuring (income) costsTwelve Months Ended December 31,2021-Adjusted","$6,968",13.7%,"$7,461","$1,556",20.9%,"$5,932",$ 10.81
"Twelve Months Ended December 31, 2020 -US GAAP","$4,553",10.9%,"$3,995","1,006",,,
"Twelve Months Ended December 31, 2020 -US GAAP","$4,553",10.9%,"$3,995","1,006",25.2%,"$2,998",$ 5.46
"Pension/OPEB mark-to-market (gains) lossesRestructuring (income) costsTwelve Months Ended December 31,2020 - Adjusted",1,1%,383,82,21.4%,301,$ 0.55
"Pension/OPEB mark-to-market (gains) lossesRestructuring (income) costsTwelve Months Ended December 31,2020 - Adjusted",354,0.8%,354,53,15.0%,301,$ 0.55
"Pension/OPEB mark-to-market (gains) lossesRestructuring (income) costsTwelve Months Ended December 31,2020 - Adjusted","$4,907",11.8%,"$4,732","$1,141",24.1%,"$3,600",$ 6.56
