,"December31,","December31,","December31,","December31,","December31,","December31,"
(Millions of dollars),Level1,Level2,Level3,Level3,Total Assets at Fair Value,
U.S. Pension,,,,,,
Equity securities:,,,,,,
U.S. equities,"2,292 $",5$,28$,,133$,"2,458"
Non-U.S. equities,"1,838",,,,,"1,839"
Fixed income securities:,,,,,,
U.S. corporate bonds,,"7,395",53,,119,7.567
Non-U.S. corporate bonds,,"1,372",1,,1,"1,372"
U.S. government bonds,,3.618,,,,3.618
U.S. governmental agency mortgage-backed securities,,27,一,,,27
Non-U.S. government bonds,,133,1,,,133
Real estate,一,1,,,一,9
"Cash, short-term instruments and other",363,22,丨,,181,566
Total U.S. pension assets,4493,12.572,91,,433 S,"17,589"
