(Millions of dollars),,Effective Yield to Maturity,2021,2020
"Machinery, Energy & Transportation:",,,,
Notes—$759 million of 5.200% due 2041 2,5.27%,$,"752,$",
Debentures—$500 million of 2.600% due 2022 2,2.70%,-,499,
Debentures—$82 million of 8.000% due 2023,8.06%,82,82,
"Debentures—$1,000 million of 3.400% due 2024",3.46%,999,998,
Debentures—$193 million of 6.625% due 2028 2,6.68%,192,192,
Debentures—$500 million of 2.600% due 2029 2,2.67%,498,497,
Debentures—$800 million of 2.600% due 2030 2,2.72%,793,793,
Debentures—$500 million of 1.900% due 2031 2,2.04%,495,,
Debentures—$242 million of 7.300% due 2031 2,7.38%,240,240,
Debentures—$307 million of 5.300% due 2035 2,8.64%,226,223,
Debentures—$460 million of 6.050% due 2036 2,6.12%,456,456,
Debentures—$65 million of 8.250% due 2038 2,8.38%,64,64,
Debentures—$160 million of 6.950% due 2042 2,7.02%,158,158,
"Debentures—$1,722 million of 3.803% due 2042 2",6.39%,"1,316",,
Debentures—$500 million of 4.300% due 2044,4.39%,493,493,
"Debentures—$1,000 million of 3.250% due 2049 2",3.34%,983,983,
"Debentures—$1,200 million of 3.250% due 2050 2",3.32%,"1,185","1,185",
Debentures—$500 million of 4.750% due 2064,4.81%,494,,
Debentures—$246 million of 7.375% due 2097 2,7.51%,241,241,
Finance lease obligations & other,79,103,,
"Total Machinery, Energy & Transportation",,"9,746","9,749",
Financial Products:,,,,
Medium-term notes,,"16,127","16,012",
Other,160,238,,
Total Financial Products,,"16,287","16,250",
Total long-term debt due after one year,$,"26,033","$,25,999",
