Contractual maturities of outstanding wholesale inventory receivables: (Millions of ollars),,,
,"December 31, 2021 Wholesale","December 31, 2021 Wholesale","December 31, 2021 Wholesale"
,Wholesale Loans,Leases,Total
Amounts Due In,421 $,,
2022,,46$,467
2023,237,38,275
2024,117,30,147
2025,56,22,78
2026,21,9,30
Thereafter,5,二,5
Total,857,145,"1,002"
Guaranteed residual value 1,68,27,95
Unguaranteed residual value 1,2,29,31
Less: Unearned income,(11),(19),(30)
"Total For Wholesale loans,represents residual value on failed sale leasebacks.",916 $,182 $,"1,098"
