,"December 31,2020","December 31,2020","December 31,2020","December 31,2020","December 31,2020","December 31,2020","December 31,2020"
(Millions of dollars),,,,,,Measured,"Total Assets/ Liabilties,at"
,Level1,,Level 2,Level3,,atNAV,Fair Value
Assets,,,,,,,
Debt securities,,,,,,,
Government debt,$,,,,,,
U.S. treasury bonds,,10$,,,$,,10
Other U.S.and non-U.S. government bonds,,,59,,,,59
Corporate bonds,,,,,,,
Corporate bonds,,,"1,012",,,,"1,012"
Asset-backed securities,,,159,,,,159
Mortgage-backed debt securities,,,,,,,
U.S. governmental agency,,,374,,,,374
Residential,,,5,,,,5
Commercial,,,64,,,,64
Total debt securities,,,"1,673",,,,"1,683"
Equity securities,,,,,,,
Large capitalization value,,,,,,,199
Smaller company growth,,,,,,,58
REIT,,,,,,148,148
Total equity securities,257,,,,,148,405
Derivative financial instruments - assets,,,,,,,
Interest rate contracts - net,,,58,,,,58
Commodity contracts - net,,,37,,$,148,37
Total Assets Liabilities,,267 $,1.768,,,,"2,183"
Derivative financial instruments - liabilities Foreign curency contracts - net,,,112$,,$,,112
Total Liabilties,,$$,112,,$,,112
