"Reconciliation of Consolidated profit before taxes,",2021,2020,2019
Profit from reportable segments:,Construction Industries,"$ 3,706","$ 2,373"
,,Resource Industries,896
,,Energy &Transportation,"2,405"
,,Financial Products Segment,590
,,Total profit from reportable segments,"$ 6,264"
Profit from All Other operating segment:,(14),28,4
Cost centers:,(4),(4),(6)
Corporate costs:,(699),(517),(607)
Timing:,(263),(106),(93)
Restructuring costs:,(90),(241),(207)
Methodology differences:,Inventory/cost of sales,122,4
,,Postretirement benefit income (expense),"$ 1,171"
,,Stock-based compensation expense,(199)
,,Financing costs,(449)
,,Currency,258
,,Other income/expense methodology differences,(267)
,,Other methodology differences,(35)
Total consolidated profit before taxes:,"$ 8,204","$ 3,995","$ 7,812"
