,,"December 31,","December 31,"
,,Effective Yield to Maturity1,2021
"(Millions of dollars) Machinery, Energy &Transportation:",,,2020
Notes—$759 million of 5.200% due 2041 2,5.27%,$ 752 $,752
Debentures—$500 million of 2.600% due 2022 ²,2.70%,二,499
Debentures—$82 million of 8.000% due 2023,8.06%,82,82
"Debentures—$1,000 million of 3.400% due 2024",3.46%,999,998
Debentures-$193 million of 6.625% due 2028 ²,6.68%,192,192
Debentures一 $500 million of 2.600% due 2029 ²,2.67%,498,497
Debentures—$800 million of 2.600% due 2030 ²,2.72%,793,793
Debentures—$500 million of 1.900% due 2031 ²,2.04%,495,1
Debentures一 -$242 million of 7.300% due 2031 ²,7.38%,240,240
Debentures—$307 million of 5.300% due 2035 ²,8.64%,226,223
Debentures—$460 million of 6.050% due 2036 ²,6.12%,456,456
Debentures—$65 million of 8.250% due 2038 ²,8.38%,64,64
Debentures—$160 million of 6.950% due 2042 ²,7.02%,158,158
"Debentures-$1,722 million of 3.803% due 2042 ²",6.39%,"1,316",
Debentures—$500 million of 4.300% due 2044,4.39%,493,"1,296 493"
"Debentures—$1,000 million of 3.250% due 2049 ²",3.34%,983,983
"Debentures—$1,200 million of 3.250% due 2050 ²",3.32%,"1,185","1,185"
Debentures—$500 million of 4.750% due 2064,4.81%,494,
Debentures-$246 million of 7.375% due 2097 ²,,,494
Finance lease obligations & other,7.51%,241,241
"Total Machinery, Energy &Transportation",,79,103
Financial Products:,,"9,746","9,749"
Medium-term notes Other,Medium-term notes Other,"16,127","16,012"
Total Financial Products,Total Financial Products,"160 16,287",238
Total long-term debt due after one year,Total long-term debt due after one year,"$ 26,033 S","16,250 25.999"
"1 Effective yield to maturity includes the impact of discounts,premiums and debt issuance costs. 2 Redabl or debentures,calculated in accordance with the terms of such notes or debentures.","1 Effective yield to maturity includes the impact of discounts,premiums and debt issuance costs. 2 Redabl or debentures,calculated in accordance with the terms of such notes or debentures.",,
