Cash Flow Hedges,Cash Flow Hedges,Cash Flow Hedges,Cash Flow Hedges,Cash Flow Hedges,
(Millions of dollars),(Millions of dollars),(Millions of dollars),(Millions of dollars),(Millions of dollars),
,Amount of Gains (Losses),Amount of Gains (Losses),Recognized in Earnings Amount of Gains (Losses) Reclassified,Amount of the,
,Recognized in AOCI,Classification of Gains (Losses),Recognized in Earnings Amount of Gains (Losses) Reclassified,line items in Statement 1,
Foreign exchange contracts,,,$,,
"Machinery, Energy &Transportation",,"(21) Sales of Machinery, Energy&Transportation",(13) $,"48,188",
"Machinery, Energy &Transportation",,Cost of goods sold,46,"35,513",
Financial Products,190,Interest expense of Financial Products,(5),455,
Financial Products,,Other income (expense),199,"1,814",
Interest rate contracts,,,,,
"Machinery, Energy &Transportation",,Interest expense excluding Financial Products,(3),488,
Financial Products,,19Interest expenseof Financial Products,(28),455,
,195,,$ 196,,
,Amount of,Amount of,Amount of,Amount of,Amount of
,Gains (Losses) Recognized in,Gains (Losses) Recognized in,Gains (Losses) Recognized in,Gains (Losses) Recognized in,Gains (Losses) Recognized in
,AOCI,Classification of Gains (Losses),Reclassified fromAOCI,line items in Statement1,
,$,"Sales of Machinery, Energy & Transportation",2$,,"39,022"
"Machinery, Energy &Transportation",48,$,(55),,
,,Cost of goods sold,,"29,082",
Financial Products,(130)I,Interest expense of Financial Products,32,589,
,,Other income (expense),(164),(44),
Interest rate contracts,,,,,
,,(11） Interest expense excluding Financial Products,（4）,514,
"Machinery, Energy&Transportation Financial Products",,Interest expense of Financial Products,(52),589,
$l,(23) （116）,,(241),,
,,"$ Year ended December31,2019",,,
Amount of,Amount of,Amount of,Amount of,Amount of,
Gains (Losses) Recognized in,Gains (Losses) Recognized in,,Amount of Gains (Losses) Reclassified,Amount ofthe line,
AOCI,AOCI,Classfication of Gains (Losses),from AOCI,items in Statement1,
Foreign exchange contracts $,,,,,
"Machinery, Energy & Transportation",,"34 Sales of Machinery, Energy &Transportation",$,"11$ 50,755",
,,Cost of goods sold,,（3),"36,630"
Financial Products,,93,Interest expense of Financial Products,33,754
Financial Products,,,,,
,,Other income (expense),,37,(57)
Interest rate contracts,,,,,
"Machinery, Energy &Transportation",,,Interest expense excluding Financial Products,（4),421
Financial Products,,,(70) Interest expenseof Financial Products,(8),754
,,57,,66,
