Actuarial Assumptions,,,,,,,,,
,U.S. Pension Benefits,U.S. Pension Benefits,U.S. Pension Benefits,Non-U.S.Pension Benefits,Non-U.S.Pension Benefits,Non-U.S.Pension Benefits,Other Postretirement Benefits,Other Postretirement Benefits,Other Postretirement Benefits
Weighted-average assumptions used to,2021,2020,2019,2021,2020,2019,2021,2020,2019
"determine benefit obligation, end of year:",,,,,,,,,
Discount rate,2.8%,2.4%,3.2%,1.8%,1.4%,1.9%,2.7%,2.3%,3.2%
Rate of compensation increase 1 Weighted-average assumptions used to,1%,1%,1%,2.0%,2.0%,2.0%,4.0%,4.0%,4.0%
determine net periodic benefit cost:,,,,,,,,,
Discount rate used to measure service cost 1,1%,1%,4.3%,1.4%,1.5%,2.5%,2.5%,3.2%,4.1%
Discount rate used to measure interest cost,1.8%,2.8%,3.9%,1.2%,1.7%,2.3%,1.6%,2.8%,3.9%
Expected rate of return on plan assets,4.2%,5.1%,5.9%,2.9%,3.3%,3.8%,6.5%,7.0%,7.2%
Rate of compensation increase 1,1%,1%,4.0%,2.0%,2.0%,3.0%,4.0%,4.0%,4.1%
Health care cost trend rates at year-end:,Health care cost trend rates at year-end:,Health care cost trend rates at year-end:,Health care cost trend rates at year-end:,Health care cost trend rates at year-end:,Health care cost trend rates at year-end:,Health care cost trend rates at year-end:,Health care cost trend rates at year-end:,Health care cost trend rates at year-end:,Health care cost trend rates at year-end:
Health care trend rate assumed for next year,,,,,,,5.6%,5.8%,6.1%
Rate that the cost trend rate gradually declines to,,,,,,,5.0%,5.0%,5.0%
Year that the cost trend rate reaches ultimate rate,,,,,,,2025,2025,2025
"Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable.","Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable.","Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable.","Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable.","Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable.","Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable.","Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable.","Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable.","Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable.","Efective December31,2019,allU.Spension benefitswere frozen,andaccordinglythisassumption isnolongerapplicable."
