Level 1,Level 2,Level 3,Measured at NAV,Total Assets/Liabilities,at Fair Value
Debt securities,Government debt,U.S. treasury bonds,,10,"10,10"
Debt securities,Government debt,Other U.S. and non-U.S. government bonds,,,",61"
Debt securities,Corporate bonds,Corporate bonds,,"1,046",",1,046"
Debt securities,Corporate bonds,Asset-backed securities,,176,",176"
Debt securities,Mortgage-backed debt securities,U.S. governmental agency,,,",325"
Debt securities,Mortgage-backed debt securities,Residential,,,",4"
Debt securities,Mortgage-backed debt securities,Commercial,,,",99"
Debt securities,Total debt securities,10,"1,711",,"1,721,1,721"
Equity securities,Large capitalization value,217,,,"217,217"
Equity securities,Smaller company growth,98,,,"98,98"
Equity securities,REIT,,,167,"167,167"
Equity securities,Total equity securities,315,167,,"482,482"
Derivative financial instruments - assets,Foreign currency contracts - net,,168,,"168,168"
Derivative financial instruments - assets,Interest rate contracts - net,,,,",23"
Derivative financial instruments - assets,Commodity contracts - net,,,,",21"
Total Assets,325,"1,923",,167,"2,415,2,415"
