Profit (Loss) by Segment,Fourth Quarter 2021,Fourth Quarter 2020,$ Change,% Change
Construction Industries,$ 788,$ 630,$ 158,25%
Resource Industries,305,273,32,12%
Energy & Transportation,675,687,(12),(2%)
All Other Segment,(12),(3),(9),(300%)
Corporate Items and Eliminations,(281),(281),—,—
"Machinery, Energy & Transportation","1,475","1,306",169,13%
Financial Products Segment,248,195,53,27%
Corporate Items and Eliminations,(37),(47),10,—
Financial Products,211,148,63,43%
Consolidating Adjustments,(75),(74),(1),—
Consolidated Operating Profit,"$ 1,611","$ 1,380",$ 231,17%
