"Year ended December 31, 2021",Recognized in Earnings,Amount of Gains (Losses) Reclassified from AOCI,Amount of the line items in Statement 1,Amount of Gains (Losses) Recognized in AOCI,Classification of Gains (Losses)
Foreign exchange contracts,"""Sales of Machinery, Energy & Transportation""",$ (13),"$ 48,188",$ (21),"Machinery, Energy & Transportation"
Foreign exchange contracts,Cost of goods sold,46,"$ 35,513",,"Machinery, Energy & Transportation"
Foreign exchange contracts,Interest expense of Financial Products,(5),455,190,Financial Products
Foreign exchange contracts,Other income (expense),199,"$ 1,814",,Financial Products
Interest rate contracts,Interest expense excluding Financial Products,(3),488,7,"Machinery, Energy & Transportation"
Interest rate contracts,Interest expense of Financial Products,(28),455,19,Financial Products
Interest rate contracts,Interest expense excluding Financial Products,(4),514,11,"Machinery, Energy & Transportation"
Interest rate contracts,Interest expense of Financial Products,(52),589,19,Financial Products
Interest rate contracts,Interest expense excluding Financial Products,(4),514,7,"Machinery, Energy & Transportation"
Interest rate contracts,Interest expense of Financial Products,(52),589,19,Financial Products
"Year ended December 31, 2020",Recognized in Earnings,Amount of Gains (Losses) Reclassified from AOCI,Amount of the line items in Statement 1,Amount of Gains (Losses) Recognized in AOCI,Classification of Gains (Losses)
Foreign exchange contracts,"""Sales of Machinery, Energy & Transportation""",$ 2,"$ 39,022",$ 48,"Machinery, Energy & Transportation"
Foreign exchange contracts,Cost of goods sold,(55),"$ 29,082",,"Machinery, Energy & Transportation"
Foreign exchange contracts,Interest expense of Financial Products,32,589,-130,Financial Products
Foreign exchange contracts,Other income (expense),(164),-44,,Financial Products
Interest rate contracts,Interest expense excluding Financial Products,(4),514,-11,"Machinery, Energy & Transportation"
Interest rate contracts,Interest expense of Financial Products,(52),589,-23,Financial Products
Interest rate contracts,Interest expense excluding Financial Products,(4),514,-11,"Machinery, Energy & Transportation"
Interest rate contracts,Interest expense of Financial Products,(52),589,-23,Financial Products
"Year ended December 31, 2019",Recognized in Earnings,Amount of Gains (Losses) Reclassified from AOCI,Amount of the line items in Statement 1,Amount of Gains (Losses) Recognized in AOCI,Classification of Gains (Losses)
Foreign exchange contracts,"""Sales of Machinery, Energy & Transportation""",$ 11,"$ 50,755",$ 34,"Machinery, Energy & Transportation"
Foreign exchange contracts,Cost of goods sold,(3),"$ 36,630",,"Machinery, Energy & Transportation"
Foreign exchange contracts,Interest expense of Financial Products,33,754,93,Financial Products
Foreign exchange contracts,Other income (expense),37,-57,,Financial Products
Interest rate contracts,Interest expense excluding Financial Products,(4),421,,"Machinery, Energy & Transportation"
Interest rate contracts,Interest expense of Financial Products,(8),754,-70,Financial Products
Interest rate contracts,Interest expense excluding Financial Products,(4),421,,"Machinery, Energy & Transportation"
Interest rate contracts,Interest expense of Financial Products,(8),754,-70,Financial Products
