(Millions of dollars),Fourth Quarter 2020,Sales Volume,Price Realization,Currency,Inter-Segment/Other,Fourth Quarter 2021,$ Change,% Change
Construction Industries,"$ 4,508",929,$ 299,$ (23),$ 23,"$ 5,736","$ 1,228",27%
Resource Industries,"$ 2,180",467,$ 121,$ 2,(8),"$ 2,762",582,27%
Energy & Transportation,"$ 4,811",640,$ 88,$ (7),$ 196,"$ 5,728",$ 917,19%
All Other Segment,137,7,,(1),(9),134,(3),(2%)
Corporate Items and Eliminations,"$(1,066)",6,$(1),,(202),"$(1,263)",(197),
"Machinery, Energy & Transportation","$ 10,570","$ 2,049",507,$ (29),,"$ 13,097","$ 2,527",24%
Financial Products Segment,743,,,,33,776,33,4%
Corporate Items and Eliminations,(78),,,,3,(75),3,
Financial Products Revenues,665,,,,36,701,36,5%
Consolidated Sales and Revenues,"$ 11,235","$ 2,049",507,$ (29),36,"$ 13,798","$ 2,563",23%
