Level 1,Level 2,Level 3,Measured at NAV,Total Assets at Fair Value
U.S. Pension,Equity securities:,U.S. equities,"$ 2,292","5,$,28,$,133,$,2,458"
U.S. Pension,Equity securities:,Non-U.S. equities,"$ 1,838","-,1,-,,-,1,839"
U.S. Pension,Fixed income securities:,U.S. corporate bonds,-,"7,395,53,119,7,567"
U.S. Pension,Fixed income securities:,Non-U.S. corporate bonds,-,"1,372,-,,-,1,372"
U.S. Pension,Fixed income securities:,U.S. government bonds,-,"3,618,-,,-,3,618"
U.S. Pension,Fixed income securities:,U.S. governmental agency mortgage-backed securities,-,"27,-,,-,27"
U.S. Pension,Fixed income securities:,Non-U.S. government bonds,-,"133,-,,-,133"
U.S. Pension,Fixed income securities:,Real estate,-,",-,9,-,9"
U.S. Pension,Fixed income securities:,Cash, short-term instruments and other,"$ 363,22,-,181,566"
U.S. Pension,Total U.S. pension assets,"$ 4,493","$ 12,572","$ 91,$ 433,$ 17,589"
