(illions of ollars),"Years ended December 31,","Years ended December 31,","Years ended December 31,","Years ended December 31,","Years ended December 31,","Years ended December 31,"
(illions of ollars),2021,2021,2020,2020,2019,2019
(illions of ollars),"$ 1,723",21.0%$,839,21.0%$,1.641,21.0%
Taxes at U.S. statutory rate (Decreases) increases resulting from:,,,,,,
Non-U.S.subsidiaries taxed at other than the U.S. rate,211,2.6%,285,7.1%,365,4.7%
"State and local taxes, net of federal 1",28,0.3%,32,0.8%,59,0.8%
"Interest and penalties, net of tax",45,0.6%,28,0.7%,34,0.4%
U.S. tax incentives,(123),(1.5)%,(52),(1.3)%,(149),(1.9)%
Net excess tax benefits from stock-based compensation,(63),(0.8)%,（49）,(1.2)%,(41),(0.5)%
Prior year tax adjustments,(36),(0.4)%,(80),(2.0)%,(178),(2.3)%
Other-net,(43）,(0.6)%,3,0.1%,15,0.2%
Provision (benefit) for income taxes,"1,742",21.2%$,"1,006",25.2%$,"1,746",22.4%
