Stock Options,2020,2019,2018
Total number of options granted (a),1847,1286,1429
Weighted-average grant-date fair value of options granted,$ 8.31,$ 10.89,$ 9.80
Total intrinsic value of options exercised (a),155096,275745,224663
Total grant-date fair value of options vested (a),8652,9838,15506
RSUs/PSUs,2020,2019,2018
Total number of RSUs/PSUs granted (a),2496,2754,2634
Weighted-average grant-date fair value of RSUs/PSUs granted,$ 131.21,$ 116.87,$ 108.75
Total intrinsic value of RSUs/PSUs converted (a),303165,333951,260287
Total grant-date fair value of RSUs/PSUs vested (a),235523,275234,232141
PEPunits,2020,2019,2018
Total intrinsic value of PEPunits converted (a),$ ,$ ,$ 30147
Total grant-date fair value of PEPunits vested (a),$ ,$ ,$ 9430
