Name,AgeTitle,
Marie T. Gallagher,6,"61 Senior Vice President and Controller, PepsiCo"
Hugh F. Johnston,59,"Vice Chairman, PepsiCo； Executive Vice President and Chief Financial Officer, PepsiCo"
Ramon L. Laguarta,57（,"Chairman of the Board of Directors and Chief Executive Officer, PepsiCo"
Silviu Popovici,,"53Chief Executive Officer, Europe"
Paula Santilli,,"56Chief Executive Officer,Latin America"
Ronald Schellekens,,"56Executive Vice President and Chief Human Resources Offcer, PepsiCo"
Kirk Tanner,52,"Chief Executive Officer, PepsiCo Beverages North America"
Eugene Willemsen,,"53Chief Executive Officer, Africa, Middle East, South Asia"
Steven Williams,,"55Chief Executive Officer, PepsiCo Foods North America"
David Yawman,521,"Executive Vice President, General Counsel and Corporate Secretary, PepsiCo"
