,Pension,Pension,Pension,Pension,Retiree Medical,Retiree Medical,Retiree Medical,,
,U.S.,U.S.,International,International,International,,,,
,2020,,2019,2020,2019,2020,2019,,
Change in projected benefit obligation,Change in projected benefit obligation,Change in projected benefit obligation,Change in projected benefit obligation,Change in projected benefit obligation,Change in projected benefit obligation,Change in projected benefit obligation,Change in projected benefit obligation,,
Obligation at beginning of year,,,,"$ 15,230 $ 13,807 $3,753 $3,098$",,988$996,,,
Service cost,,434,381,86,73,25,23,,
Interest cost,,435,543,85,97,25,36,,
Plan amendments,(221),,15,(17),1,(25),,,
Participant contributions,,,,,,,,,
Experience loss,"2,042",,2.091,2 467,2 515,81,36,,
Benefit payments,,(378),(341),(92),(100),(89),(105),,
Settlement/curtailment,,(808),"(1,268)",(24),(31),,,,
Special termination benefits,,,2,,,,,,
"Other, including foreign currency adjustment",19,19,19,19,19,19,19,,
Obligation at end of year,,"$16,753$ 15,230$",,"170 4,430$","98 3,753$","1 1,006$",988,,
Change in fair value of plan assets,Change in fair value of plan assets,Change in fair value of plan assets,Change in fair value of plan assets,Change in fair value of plan assets,Change in fair value of plan assets,Change in fair value of plan assets,Change in fair value of plan assets,Change in fair value of plan assets,Change in fair value of plan assets
Fair value at beginning of year,,,,"$ 14,302 $ 12,258 $ 3,732 $ 3,090 $",,302 $285,,,
Actual return on plan assets,,"1,908","3,101",401,551,47,78,,
Employer contributions/funding,387,,550,120,122,55,44,,
Participant contributions,,,,2,2,,,,
Benefit payments,(378),,,,,(89),,,
Settlement,(754),,(341),(92),(100),,(105),,
,,,"(1,266)",(29),(31),,,,
"Other, including foreign currency adjustment",,"$15,465$14,302$",,169,98,,,,
Fair value at end of year Funded status,,"$(1,288)$",,"4,303$","3,732S",315S,302,,
,,,（928）$,(127)$,(21)S,(691)$,(686）,,
Amounts recognized,Amounts recognized,Amounts recognized,Amounts recognized,Amounts recognized,Amounts recognized,Amounts recognized,Amounts recognized,Amounts recognized,Amounts recognized
Other assets,,,,,,,,,
Other current liabilities,,(53),$ 797 $744 $110 $99 $,,,(51),,,
Other liabilities,,"(2,032)",(52),(1),(1),(640),(58) (628),,
Net amount recognized,,,"(1,620)",(236),(119),,,,
,,,,,,"S(1,288) $(928)S(127)$(21)S(691)S(686)",,,
Amounts included in accumulated other comprehensive loss (pre-tax),Amounts included in accumulated other comprehensive loss (pre-tax),Amounts included in accumulated other comprehensive loss (pre-tax),Amounts included in accumulated other comprehensive loss (pre-tax),Amounts included in accumulated other comprehensive loss (pre-tax),Amounts included in accumulated other comprehensive loss (pre-tax),Amounts included in accumulated other comprehensive loss (pre-tax),Amounts included in accumulated other comprehensive loss (pre-tax),,
Net loss/(gain),,"$4,116 $3,516 $ 1,149 $",,,,914 $(212) $(285),,,
Prior service (credit)/cost,,(119),114,(19),,(45),(32),,
Total,,"S3,997S",,"3,630$1,130$",914S,(257S,(317),,
Changes recognized in net loss/(gain) included in other comprehensive loss,Changes recognized in net loss/(gain) included in other comprehensive loss,Changes recognized in net loss/(gain) included in other comprehensive loss,Changes recognized in net loss/(gain) included in other comprehensive loss,Changes recognized in net loss/(gain) included in other comprehensive loss,Changes recognized in net loss/(gain) included in other comprehensive loss,Changes recognized in net loss/(gain) included in other comprehensive loss,Changes recognized in net loss/(gain) included in other comprehensive loss,,
Net loss/(gain) arising in current year,$,"1,009",(120) $,268 $,152 $,50 $,(24),,
Amortization and settlement recognition,,(409),(457),(75),(44),23,27,,
Foreign currency translation loss/(gain),,,,42,26,,(1),,
Total,600S,,,235S,134S,73,,,
,$,,(577S,,,,,,
Accumulated benefit obligation at end of year,Accumulated benefit obligation at end of year,Accumulated benefit obligation at end of year,Accumulated benefit obligation at end of year,Accumulated benefit obligation at end of year,Accumulated benefit obligation at end of year,Accumulated benefit obligation at end of year,Accumulated benefit obligation at end of year,,
