,,Items Affecting Comparability(@),Items Affecting Comparability(@),Items Affecting Comparability(@),Inventory fair value
,"Reported, GAAP Measure(b)",Mark-to- market net impact,Restructuring and impairment charges,adjustments and merger and integration charges,"Core, Non-GAAP Measureb"
FLNA,"5,340 $",,,29 $,"5,452"
QFNA,669,,,,674
PBNA,"1,937",,47,66,"2,050"
LatAm,"1,033",,31,,"1,064"
Europe,"1,353",,48,,"1,401"
AMESA,600,,14,173 7,787
APAC,590,,5 36,,602
Corporate unallocated expenses,"(1,442)",（73) （73) S,269,(20),"(1,499)"
Total,"10,080",,,255$,"10,531"
