2020 2019 2018Shares Amount Shares Amount Shares Amount,2020 2019 2018Shares Amount Shares Amount Shares Amount,2020 2019 2018Shares Amount Shares Amount Shares Amount,2020 2019 2018Shares Amount Shares Amount Shares Amount,2020 2019 2018Shares Amount Shares Amount Shares Amount,2020 2019 2018Shares Amount Shares Amount Shares Amount,2020 2019 2018Shares Amount Shares Amount Shares Amount
Preferred Stock,,,,,,
"Balance,beginning of year",$,$,$,$,0.8$ 41,0.8$ 41
Conversion to common stock,,,,,(0.1) （6,(0.1) （6
Retirement of preferred stock,,,,,(0.7) (35),(0.7) (35)
"Balance, end of year",,,,,,
Repurchased Preferred Stock,,,,,,
"Balance, beginning of year",,,,,(0.7) (197),(0.7) (197)
Redemptions,,,,,(2),(2)
Retirement of preferred stock,,,,,0.7 199,0.7 199
"Balance, end of year",,,,,,
Common Stock,,,,,,
"Balance,beginning of year","1,391",23,"1,409",23,"1,420 24","1,420 24"
Shares issued in connection with preferred stockconversion tocommonstock,,,,,1,1
Change in repurchased common stock,(),,(18),,(12) (,(12) (
"Balance, end of year","1,380",23,"1,391",23,"1,409 23","1,409 23"
Capital in Excessof Par Value,,,,,,
"Balance, beginning of year",,3.886,,"3,953","3,996","3,996"
Share-based compensation expense,263,263,,235,250,250
Equity issued in connection with preferred stock conversion tocommon stock,,,,,6,6
"Stock option exercises,RSUs,PSUs and PEPunits converted",,(143),,(188),(193),(193)
"Witholding tax on RSUs, PSUs and PEPunits converted",,(96),,(114),(103),(103)
Other,,,,,(3),(3)
"Balance, end of year",,"3,910",,3.886,3.953,3.953
Retained Earnings,Retained Earnings,,,,,
"Balance,beginning of year","Balance,beginning of year","61,946",,59.947,"52,839","52,839"
Cumulative effect of accounting changes,Cumulative effect of accounting changes,(34),,8,(145),(145)
Net income attributable to PepsiCo,Net income attributable to PepsiCo,"7,120",,"7,314","12,515","12,515"
Cash dividendsdeclared-commo(),Cash dividendsdeclared-commo(),"(5,589)",,"(5,323)",(5.098),(5.098)
Retirementof preferred stock,Retirementof preferred stock,,,,(164),(164)
"Balance, end of year","Balance, end of year","63,443",,61.946,59.947,59.947
Accumulated Other Comprehensive Loss,Accumulated Other Comprehensive Loss,,,,,
"Balance,beginning of year","Balance,beginning of year","(14,300)",,"(15,119)","(13,057)","(13,057)"
Other comprehensive (loss)/income attributable to PepsiCo,Other comprehensive (loss)/income attributable to PepsiCo,"(1,176)",,819,,(2.062)
"Balance, end of year","Balance, end of year","(15,476)",,"(14,300)",,"(15,119)"
Repurchased Common Stock,Repurchased Common Stock,,,,,
"Balance,beginning of year (476)","Balance,beginning of year (476)","(36,769)",(458),"(34,286)",(446),"(32,757)"
Share repurchases (15),Share repurchases (15),"(2,000)",(24),"(3,000",(18),(2.000)
"Stock ptionexercises,RSUs,PSUsand PEunitsovered 4","Stock ptionexercises,RSUs,PSUsand PEunitsovered 4",322,6,516,6,469
Other,,1,,1,,2
"Balance, end of year",（487,"(38,446",(476,"(36,769)",（458）,"(34,286)"
Total PepsiCo Common Shareholders' Equity,Total PepsiCo Common Shareholders' Equity,"13,454",,"14,786",,"14,518"
Noncontrolling Interests,Noncontrolling Interests,,,,,
"Balance, beginning of year","Balance, beginning of year",82,,84,,92
Net incomeattributable to noncontrolling interests,Net incomeattributable to noncontrolling interests,55,,39,,44
Distributions tononcontrolling interests,Distributions tononcontrolling interests,(44),,(42),,(49)
Acquisitions,Acquisitions,5,,一,,二
"Other, net","Other, net",,,1,,（③)
"Balance, end of year","Balance, end of year",98,,82,,84
Total Equity,Total Equity,S13.552,,$14.868,,$14.602
