Fair Value Hierarchy Levels (a),Assets (a),Liabilities (a),Assets (a),Liabilities (a)
Index funds (b),231,,229,
Prepaid forward contracts (c),18,,17,
Deferred compensation (d),477,,468,
Contingent consideration (e),861,,,
Derivatives designated as fair value hedging instruments:,2,,5,
Interest rate (f),2,,,
Derivatives designated as cash flow hedging instruments:,9,71,5,32
Foreign exchange (g),13,307,,390
Interest rate (g),,,,
Commodity (h),2,5,,7
Commodity (i),32,,2,5
Derivatives not designated as hedging instruments:,4,8,3,2
Foreign exchange (g),,,,
Commodity (h),,,23,
Commodity (i),19,7,6,24
Derivatives at fair value (j),23,15,32,33
Total derivatives at fair value (j),79,393,41,470
Total,328,1731,287,938
