SIGNATURE,TITLE,DATE
/s/ Ramon L. Laguarta," ""Chairman of the Board of Directors and Chief Executive Officer""","""February 10,2021"""
/s/ Hugh F. Johnston," ""Vice Chairman","Executive Vice President and Chief Financial Officer"",""February 10,2021"""
/s/ Marie T. Gallagher," ""Senior Vice President and Controller (Principal Accounting Officer)""","""February 10,2021"""
/s/ Segun Agbaje," ""Director""","""February 10,2021"""
/s/ Shona L. Brown," ""Director""","""February 10,2021"""
/s/ Cesar Conde," ""Director""","""February 10,2021"""
/s/ Ian M. Cook," ""Director""","""February 10,2021"""
/s/ Dina Dublon," ""Director""","""February 10,2021"""
/s/ Richard W. Fisher," ""Director""","""February 10,2021"""
/s/ Michelle Gass," ""Director""","""February 10,2021"""
/s/ Dave J. Lewis," ""Director""","""February 10,2021"""
/s/ David C. Page," ""Director""","""February 10,2021"""
/s/ Robert C. Pohlad," ""Director""","""February 10,2021"""
/s/ Daniel Vasella," ""Director""","""February 10,2021"""
/s/ Darren Walker," ""Director""","""February 10,2021"""
/s/ Alberto Weisser," ""Director""","""February 10,2021"""
