"Reported % Change, GAAP",,Impact of Items Affecting Comparability(@),Impact of Items Affecting Comparability(@),Impact of Items Affecting Comparability(@),,Impact of,Impact of,"Core Constant Currency % Change,"
"Reported % Change, GAAP",,Mark-to- market net,Restructuring and impairment,Inventory fair .value adjustments and merger and integration,,"Core % Change, Non-GAAP Measureb",,
FLNA,Measure 2%,impact,charges 1,charges 1,3%,exchange translation,Non-GAAP Measureb 3%,"Core Constant Currency % Change,"
QFNA,23%,,,,24%,,24 %,
PBNA,(11)%,,,3,(8)%,,(8)%,
LatAm,(10)%,,(2),,(12)%,11,-%,
Europe,2%,,(4),(3),(5)%,4,(0.5)%,
AMESA,(11)%,,(3.5),24,10%,,10%,
APAC,24 %,,(10),2,15 %,,16%,
Corporate unallocated expenses,10%,(6,2,3.5,10%,,10%,
Total,(2)%,,(1),2,(1)%,2,1%,
