,Pension,Pension,Pension,Pension,Pension,Pension,Retiree Medical,Retiree Medical,Retiree Medical
,,U.S.,U.S.,International,International,International,,,
,2020,2019,2018,2020,2019,2018,2020,2019,2018
Service cost,$434 $381 $431 $ 86 $ 73 $ 92 $ 25 $ 23 $ 32,,,,,,,,
Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34,Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34,Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34,Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34,Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34,Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34,Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34,Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34,Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34,Other pension and retiree medical benefits (income)/expense: $435 $543 $482 $ 85 $ 97 $ 93 $ 25 $ 36 $ 34
Interest cost,,,,,,,,,
Expected return on plan assets,(929),(892),(943),(202),(188),(197),(16),(18),(19)
Amortization of prior service cost/(credits),12,10,3,,,,(12),(19),(20)
Amortization of net losses/(gains),196,161,179,61,32,45,(23),(27),（8
Settlement/curtailment losses a),213,296,8,19,12,6,,,
Special termination benefits,19,1,36,,,2,,,1
Total other pension and retiree medical benefits (income)/expense,$ (54) $ 119,,,,,,,,$(235) $ (37) $ (47) $ (51) $ (26) $ (28) $ (12)
Total,$380$500$196$49$ 26$ 41$(1)$ (5)$ 20,,,,,,,,
