,Total Assets,Total Assets,Capital Spending,Capital Spending,Capital Spending,Capital Spending
,2020,,2019,2020,2019,2018
FLNA,"$ 8,730 $",,"7,519 $","1,189 $","1,227",840
QFNA,"1,021",,941,85,104,53
PBNA @,"37,079",,"31,449","1,245","1,053",945
LatAm,"6,977",,"7,007",390,557,492
Europe,"17,917",,"17,814",730,613,466
AMESA (b),,"5,942","3,672",252,267,198
APAC,,"5,770","4,113",230,195,138
Total division,"83,436",,"72,515","4,121","4,016","3,132"
Corporate(d),"9,482",,"6,032",119,216,150
Total,"$92,918$",,"78,547","$ 4,240$","4,232$","3,282"
