,2020,2019,2018
Stock Options,,,
Total number of options granted (a),,"1,8471,286","1,429"
Weighted-average grant-date fair value of options granted,$,8.31 $ 10.89 $9.80,
Total intrinsic value of options exercised (a),,"$ 155,096 $ 275,745$ 224,663",
Total grant-date fair value of options vested (@),$,"8,652 $ 9,838 $ 15,506",
RSUs/PSUs,,,
Total number of RSUs/PSUs granted (a),2.496,"2,754","2,634"
Weighted-average grant-date fair value ofRSUs/PSUs granted$ 131.21 $116.87 $ 108.75,,,
Total intrinsic value of RSUs/PSUs converted (a),,"$ 303,165 $ 333,951 $ 260,287",
Total grant-date fair value of RSUs/PSUs vested @a),,"$ 235,523 $ 275,234 $ 232,141",
PEPunits,,,
Total intrinsic value of PEPunits converted (a),$,$,"—$ 30,147"
Total grant-date fair value of PEPunits vested (a),$,$,"$ 9,430"
