,Net Revenue,Net Revenue,Net Revenue,Long-Lived Assets(a),Long-Lived Assets(a)
,2020,2019,2018,2020,2019
United States (b),"$ 40,800$","38,644$","37,148$","36,657 $","30,601"
Mexico,"3,924","4,190","3,878","1,708","1,666"
Russia,"3,009","3,263","3,191","3,644","4,314"
Canada,"2,989",2.831,"2,736","2,794","2,695"
United Kingdom,"1,882","1,723","1,743",874,827
China (),"1,732","1,300","1,164","1,649",705
South Africa (@),"1,282",405,432,"1,484",137
All other countries,"14,754","14,805","14,369","13,423","12,587"
Total,"$ 70,372$","67,161$","64,661$","62,233$","53,532"
