,,Items Affecting Comparability(a),Items Affecting Comparability(a),Items Affecting Comparability(a),Items Affecting Comparability(a),"Core,"
,"Reported, GAAP Measure",Mark-to-market net impact,impairment charges,Restructuring and,and merger and integration charges,Non-GAAP Measure
FLNA,,"5,258 $",,22 $,,"5,280"
QFNA,,544,,2,,546
PBNA,,"2,179",,51,,"2,230"
LatAm,,"1,141",,62,,"1,203"
Europe,,"1,327",,99,46,"1,472"
AMESA,,671,,38,7,716
APAC,,477,,47,2,524
Corporate unallocated expenses,,"(1,306)",(112),47,55$,"(1,369)"
Total,,"10,291 $",(112) $,368$,,"10,602"
